OBJECTID;ID;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail
19;439;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1972;117041, г.Москва, улица Бартеневская, дом 49, корпус 4;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;715-59-54;http://schuz1972.mskobr.ru;info@sch1972.net
20;442;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1980;117042, г. Москва, Чечерский проезд, дом 56;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;715-51-36;;sch1980@mosuzedu.ru
21;443;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1981;117042, г.Москва, ул. Бартеневская, д. 27;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;717-17-54;http://schuz1981.mskobr.ru/;school1981@mosuzedu.ru
22;449;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1994;117042, г. Москва, Аллея Витте, дом 2, корп. 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;717-90-45;http://schuz1994.mskobr.ru;sch1994@mail.ru
23;456;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2003;117624, г.Москва, улица Изюмская, дом 28, корпус 3;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 793-03-27;http://schuz2003.mskobr.ru/;sch2003@mail.ru
24;458;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2008;117624, город Москва, ул. Изюмская, д. 34, корпус 3;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;717-32-81;http://schuz2008.mskobr.ru/;sch2008@mosuzedu.ru
25;459;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2009;117041, г.Москва, улица Адмирала Руднева, дом 16, корпус 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;717-19-54;http://schuz2009.mskobr.ru;info@sch2009.net
26;463;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2014;117041, г. Москва, улица Кадырова, дом 10;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 714-69-63;;"school@2014.msk.ru ; school2014@mosuzedu.ru"
27;479;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2046;117148, Москва, улица Маршала Савицкого, дом 6, корпус 4;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499)232-11-09,(499)-232-11-09;http://schuz2046.mskobr.ru/;sch2046@ou.mosuzedu.ru
28;480;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2047;117148, г.Москва, ул. Маршала Савицкого, дом 26, корпус 4;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(916) 772-76-60;http://schuz2047.mskobr.ru;school2047@mail.ru
29;482;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2049;117624, г. Москва, ул. Изюмская, д. 61 к.2;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 232-83-18;;
30;938;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1064;117624, г. Москва, улица Скобелевская, дом 30;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;716-67-45;;info@1064.msk.ru
31;1005;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1354;117624, г. Москва, улица Изюмская, дом 38, корпус 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;716-45-45;;
33;1062;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий № 1368;117041, г. Москва, улица Академика Понтрягина, дом 17, корпус 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;715-11-63;http://schuuz1368.mskobr.ru;sch1368@mosuzedu.ru
34;1084;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний ""Искусство"" № 1372";117042, г. Москва, Чечёрский проезд, дом 80;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;715-27-18;;sch1372@mosuzedu.ru
36;1104;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики № 2007;117042, г. Москва, ул. Горчакова, д. 9, корп. 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;716-29-35;schuuz2007.mskobr.ru;avbush@rambler.ru
37;1120;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики и информатики № 1355;117623, г.Москва, ул. Джанкойская, д.7;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;712-59-63;http://schu1355uz.mskobr.ru;school1355@yandex.ru
38;1184;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1456;117623, г.Москва, ул. 3-я Железногорская, дом 11А;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Центр образования;712-79-98;;center1456@mosuzedu.ru
41;1235;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1863;117042, г. Москва, улица Поляны, дом 31А;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Центр образования;716-80-45;http://couz1863.mskobr.ru/;center1863@mosuzedu.ru
49;1397;Частное учреждение средняя общеобразовательная школа «Данко»;;Юго-Западный административный округ;район Южное Бутово;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 716-50-34;noudanko.mskobr.ru;dankonoy@mail.ru
48;1328;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Свет""";;Северный административный округ;Савёловский район;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 614-29-36;;gimnaziasvet@yandex.ru
2;154;Государственное бюджетное образовательное учреждение города Москвы лицей № 1791;142770, г. Москва, поселение Сосенское, пос. Коммунарка;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Лицей;(498)617-81-46;lyc1791tn.mskobr.ru;
43;1277;Муниципальное  бюджетное образовательное учреждение городского округа Щербинка в городе Москве средняя общеобразовательная школа № 4;142172, Москва Город, Щербинка Город, 40 лет Октября Улица, 8;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495)867-00-81,(495) 867-00-81;sch4tn.mskobr.ru;
44;1278;Муниципальное  бюджетное образовательное учреждение городского округа Щербинка в городе Москве средняя общеобразовательная школа № 5;142171, Москва Город, Щербинка Город, Авиаторов Улица, 9;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495)849-06-31,(495) 849-06-31;sch5tn.mskobr.ru;
45;1285;Муниципальное бюджетное образовательное учреждение городского округа Щербинка в городе Москве средняя общеобразовательная  школа № 1;142171, Москва Город, Щербинка Город, 40 лет Октября Улица, 5/1;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(4958)67-00-70;sch1tn.mskobr.ru;
46;1286;Муниципальное бюджетное образовательное учреждение городского округа Щербинка в городе Москве средняя общеобразовательная школа №2;142172, Москва Город, Щербинка Город, Железнодорожная Улица, 41;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(496)67-02-32,(496) 67-02-32;;
47;1287;Муниципальное бюджетное образовательное учреждение городского округа Щербинка в городе Москве средняя общеобразовательная школа №3;142171, Москва Город, Щербинка Город, Местечко Барыши Улица;;;Государственное;Троицкое и новомосковское окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(4967)66-39-89,(4967) 66-39-89;;
