"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
11;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 625";"117449, г. Москва, ул. Шверника, д. 17, корп. 2";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"126-45-06";"gymg625.mskobr.ru";"gimnaziya_625@mail.ru";114
12;"Государственное бюджетное образовательное учреждение города Москвы лицей ""Вторая школа""";"119333, город Москва, улица Фотиевой, дом 18";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"137-69-31";"http://lycuz2.mskobr.ru/";"moscowsch2@yandex.ru";127
13;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";133
14;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1533 (информационных технологий)";"119296, г. Москва, Ломоносовский проспект, дом 16";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 133-24-35";"";"info@lit.msu.ru";134
15;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1561";"117463, г.Москва, Новоясеневский проспект, д.38, корп.2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"425-94-88";"http://lycuz1561.mskobr.ru/";"licei1561@yandex.ru";142
16;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644";"117461, г.Москва, ул. Херсонская, д. 5, корп. 1";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"122-84-70";"";"gou@1644.ru";166
17;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1733";"119311, Москва, ул. Крупской, д.10";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"432-67-92";"";"progimnaziya1733@mail.ru";171
18;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1065";"117624, г.Москва, ул. Скобелевская, дом 28";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"716-78-45";"";"1065@mail.ru";200
19;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1115";"117209, г.Москва, ул. Перекопская, д.28";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(903) 569-74-44";"http://schzuz1115.mskobr.ru";"sch1115@mosuzedu.ru";202
20;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 137";"119331, г. Москва, улица Кравченко, дом 14, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 138-38-28";"http://schz137uz.mskobr.ru/";"sch137ifo@mail.ru";207
21;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1693 имени 1-й дивизии народного ополчения Москвы";"117463, г. Москва, улица Паустовского, дом 6, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"423-33-00";"http://schzuz1693.mskobr.ru";"school1693@mail.ru";208
22;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1979";"117041, г.Москва, улица Адмирала Лазарева, дом 40, корпус 2";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"715-59-81";"";"";211
23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 27";"117593, город Москва, Литовский бульвар, дом 17, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"426-71-83";"http://schzuz27.mskobr.ru/";"sch27@list.ru";216
24;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 48";"117133, г.Москва, ул. Теплый Стан, д.25-а";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"337-83-11";"http://schzuz48.mskobr.ru/";"";225
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 523";"117418, г. Москва, ул. Цюрупы, д. 14А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"128-56-24";"http://schzuz523.mskobr.ru/";"school523@yandex.ru";227
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 533";"117461, город Москва, улица Каховка, дом 19, корпус 3";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 121-60-80";"http://schzuz533.mskobr.ru/";"school533@bk.ru";228
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 539";"117246, г.Москва, улица Херсонская, дом 30, корпус 3";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"332-80-01";"http://schzuz539.mskobr.ru/";"sch539@mosuzedu.ru";229
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 554";"117209, г.Москва, Болотниковская улица, дом 47, корпус 2";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"121-91-19";"http://schzuz554.mskobr.ru";"school554@mosuzedu.ru";230
29;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 898 имени генерала И.Д.Стаценко";"117465, г. Москва, ул. Профсоюзная, дом 156, корпус 6";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"338-17-15";"http://schzuz898.mskobr.ru";"sch898@mosuzedu.ru";243
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 370";"119449, г. Москва, улица Винокурова, дом 3Б";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 126-75-23";"http://schnuz370.mskobr.ru";"sch370@mosuzedu.ru";251
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1";"119311, г.Москва , Ломоносовский проспект, дом 21";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-22-24";"";"sch0001@rambler.ru";261
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 102";"117449, г.Москва, улица Шверника, дом 10";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"126-93-44";"http://schuz102.mskobr.ru/";"slisowsk@mail.ru";272
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1020";"117574, г.Москва, улица Вильнюсская, дом 12";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"421-62-56";"http://schuz1020.mskobr.ru/";"adm@sosh1020.ru";273
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 103";"117485, г.Москва, ул.Академика Волгина, дом 11";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"336-65-33";"";"school103@yandex.ru";277
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 104";"117292, г.Москва, улица Ивана Бабушкина, дом 15, корпус 5";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 125-37-20";"https://schuz104.mskobr.ru";"gousosh104@mail.ru";282
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 107";"117463, г.Москва, улица Голубинская, дом 28, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"421-82-00";"http://shuz107.mskobr.ru";"school-107@yandex.ru";293
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 108";"117574, г.Москва, ул. Вильнюсская, д.14";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"422-61-55";"http://schuz108.mskobr.ru/";"sch108@mosuzedu.ru";297
38;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 11";"119311, г.Москва, Ломоносовский проспект, д.13";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-36-39";"http://schuz11.mskobr.ru/";"mosschool11@mail.ru";302
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1100";"117630, г. Москва, улица Академика Челомея, дом 6а";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"936-30-95";"";"detsad1100@mail.ru";303
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1101";"117133, Москва, ул. Академика Варги, дом 34";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"339-77-39";"";"";304
41;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1103 имени Героя Российской Федерации А.В. Соломатина";"117588, г. Москва, Литовский бульвар, дом 44, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"426-88-11";"";"sch1103@mosuzedu.ru";305
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1104";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-17-22";"http://schuz1104.mskobr.ru/";"sch1104@mail.ru";306
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1106";"117463, г.Москва, проезд Карамзина, дом 13, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"423-27-88";"http://schuz1106.mskobr.ru/";"sch1106@mail.ru";307
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1108";"117593, г.Москва, Соловьиный проезд, дом 16, корп. 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"426-96-04";"";"sch1108@mail.ru";308
45;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 113";"117437, г.Москва, ул. Профсоюзная, дом 118-Б";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"335-92-77";"";"school@kmail.ru";316
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1161";"117624, г. Москва, улица Изюмская, дом 35А";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 793-93-09";"http://schuz1161.mskobr.ru";"shkola1161@gmail.com";329
47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1163";"117623, г. Москва, ул. Большая Бутовская, дом 9";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"712-76-33";"http://schuz1163.mskobr.ru/";"sch1163@mosuzedu.ru";330
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1174";"117216, г. Москва, улица Феодосийская, дом 11А";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"712-40-36";"http://schuz1174.mskobr.ru/";"info@school1174.ru";334
49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1176";"117148, г. Москва, улица Брусилова, дом 29, корпус 1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"659-23-81";"";"sch1176@mosuzedu.ru";335
50;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1181";"117513, г. Москва, Ленинский проспект, д.117";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"936-93-84";"http://schzuz1181.mskobr.ru";"school1181@mail.ru";337
51;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 119";"119331, г.Москва, ул. Марии Ульяновой, дом 5А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"138-03-58";"http://schuz119.mskobr.ru";"sch119@yandex.ru";339
52;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1199 ""Лига Школ""";"117574, г.Москва, Новоясеневский проспект, дом 16, корп. 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"427-59-45";"";"info@liga1199.ru";343
53;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 120";"119296, г. Москва, Ломоносовский проспект, дом 4, корпус 3";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"938-00-46";"http://schuz120.mskobr.ru";"school120@mail.ru";345
54;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 121";"117393, г. Москва, ул. Гарибальди, дом 28, корпус 3";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"128-67-11";"http://schuz121.mskobr.ru/";"skola121@mail.ru";346
55;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 125";"117574, г.Москва, улица Голубинская, дом 5, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"423-39-00";"http://schuz125.mskobr.ru/";"abrocimova125@inbox.ru";348
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1492";"117041, г. Москва, ул. Адмирала Лазарева, д. 62, корп.2";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"714-03-36";"couz1492.mskobr.ru";"school1992@yandex.ru";368
57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 15";"117246, г.Москва, ул.Херсонская, дом 27 А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"331-56-11";"http://schuz15.mskobr.ru";"school15@mosuzedu.ru";370
58;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 156";"117463, г.Москва, улица Паустовского, дом 5, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"422-24-22";"http://schuz156.mskobr.ru/";"mail@156.ru";374
59;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 17";"117279, г. Москва, ул. Введенского, д.28";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-98-11";"";"info@sch17.ru";384
60;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 176";"117485, г.Москва, ул.Профсоюзная, д.98А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"336-17-44";"";"sch176@mosuzedu.ru";396
61;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 18";"117463, г. Москва, проезд Карамзина, дом 9, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"423-08-33";"http://schuz18.mskobr.ru/";"18school@list.ru";397
62;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1825";"117628, г. Москва, ул. Куликовская, д. 3Б";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"712-29-36";"http://schuz1825.mskobr.ru";"sch1825@yandex.ru";399
63;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 187";"119261, г. Москва, Ломоносовский проспект, дом 3 А";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"138-48-81";"http://schuz187.mskobr.ru/";"sch187@bk.ru";404
64;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1883 ""Бутово""";"117042, г. Москва, улица Поляны, дом 53";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"716-47-45";"http://couz1883.mskobr.ru/";"co1883@inbox.ru";406
65;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 190";"117335, г. Москва, Профсоюзная ул., дом 40, кор.2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"128-18-11";"http://schuz190.mskobr.ru/";"sch190@mosuzedu.ru";407
66;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 191";"117218, г.Москва, ул. Профсоюзная, д. 15 А";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"125-63-55";"http://schuz191.mskobr.ru";"sch191@mosuzedu.ru";413
67;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1916";"117042, г. Москва, Чечёрский проезд, дом 6";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"716-51-63";"schuz1916.mskobr.ru";"info@school1916.mosuzedu.ru";417
68;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 192";"119334, г.Москва, Ленинский проспект, д. 34А";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"137-72-85";"http://schuz192.mskobr.ru/";"";418
69;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 193";"117418, г.Москва, улица Новочерёмушкинская, дом 56, корпус 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 128-82-09";"http://schuz193.mskobr.ru/";"sch193@ou.mosuzedu.ru";422
70;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1931";"117042, г. Москва, Чечёрский проезд, дом 42";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"715-62-27";"http://schuz1931.mskobr.ru";"sch1931@mosuzedu.ru";423
71;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1945";"117628, г.Москва, ул. Старокачаловская, вл.22";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"713-68-72";"";"s1945@mail.ru";429
72;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1946";"117042, г.Москва, ул. Южнобутовская, д. 135 А";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"715-26-37";"http://schuz1946.mskobr.ru";"school_1946@mail.ru";430
73;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1961";"117042, г. Москва, ул. Южнобутовская, д. 76, корп. 1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"715-80-54";"http://schuz1961.mskobr.ru";"sch1961@yandex.ru";433
74;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 197";"117447, г.Москва, улица Новочеремушкинская, дом 11 А";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"129-71-55";"http://schuz197.mskobr.ru/";"school-197@yandex.ru";436
75;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1970";"117042, г.Москва, Чечёрский проезд, дом 22, корпус 1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"716-03-00";"http://schuz1970.mskobr.ru";"sch19702002@mail.ru";437
76;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1971";"117042, город Москва, ул. Южнобутовская, д. 52, корпуса 1, 2";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"716-27-90";"http://schuz1971.mskobr.ru";"sch1971@mosuzedu.ru";438
