"ID","COMPLEX_ID","NAME",,
58,22,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад №54",,
59,23,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1259",,
60,23,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1258",,
61,23,"в. Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка-детский сад №1834",,
62,23,"г. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №2030",,
63,24,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования №497",,
64,24,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1271",,
65,24,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 773",,
66,25,"а. Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1529 имени А.С. Грибоедова",,
67,25,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №59 имени Н.В. Гоголя",,
68,25,"в. Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида №37",,
69,25,"г. Государственное бюджетное образовательное учреждение города Москвы Специальная (коррекционная) общеобразовательная школа III-IV видов №67",,
70,25,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №936",,
71,26,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1253",,
72,26,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 588",,
73,26,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2164",,
74,27,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2055",,
75,27,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1927",,
76,27,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1465",,
77,27,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2112",,
78,27,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1930",,
79,28,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и французского языков №1950",,
80,28,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №136",,
81,28,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №334",,
82,28,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №420",,
83,29,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 34",,
84,29,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 669",,
85,29,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 153",,
86,29,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2619",,
87,29,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1183",,
88,30,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1270",,
89,30,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2113",,
90,30,"в. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 1777",,
91,31,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования №1641",,
92,31,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 435",,
93,31,"в. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1204",,
94,31,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1374",,
95,31,"д. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 2617",,
96,31,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1865",,
97,31,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1976",,
98,31,"ж. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1975",,
99,31,"з. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 452",,
100,31,"и. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1979",,
101,31,"к. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 53",,
102,31,"л. Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 299",,
103,32,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 354 имени Д.М. Карбышева",,
104,32,"б. Государственное бюджетное образовательное учреждение города Москвы центр образования № 1480 ",,
105,32,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 6",,
106,32,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2663",,
107,32,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1733",,
108,32,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2555",,
109,32,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1982",,
110,32,"ж. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1729",,
111,33,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 498",,
112,33,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 467",,
113,33,"в. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 1827",,
114,33,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1874",,
115,33,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 492",,
116,34,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №171",,
117,34,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 45",,
118,34,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2661",,
119,34,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1093",,
120,34,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2172",,
121,34,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1359",,
122,34,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад № 676",,
123,34,"ж. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1155",,
124,34,"з. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2107",,
125,34,"и. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1476",,
126,35,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1840",,
127,35,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1215 имени Ромена Роллана",,
128,35,"в. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 268",,
129,35,"г. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 235",,
130,35,"д. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 1678",,
131,35,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей №1589",,
132,35,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1277",,
133,35,"ж. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1189",,
134,35,"з. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1131",,
135,35,"и. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1021",,
136,36,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1262 имени А.Н. Островского",,
137,36,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1974",,
138,36,"в. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 2336",,
139,36,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 940",,
140,37,"а. Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1540",,
141,37,"б. Государственное бюджетное образовательное учреждение города Москвы средней общеобразовательной школы № 228",,
142,37,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2106",,
143,38,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1060",,
144,38,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 553",,
145,39,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1234",,
146,39,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» № 122",,
147,39,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 729",,
148,40,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621",,
149,40,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад с этнокультурным (еврейским) компонентом образования № 1136",,
150,41,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1225",,
151,41,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 613",,
152,41,"в. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 330",,
153,41,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2334",,
154,41,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1983",,
155,41,"е. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 1948",,
156,41,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 275",,
157,42,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 19 имени В.Г. Белинского",,
158,42,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1323",,
159,42,"в. Государственное бюджетное образовательное учреждение города Москвы Лицей № 1546 «Плехановец»",,
160,42,"г. Государственное бюджетное образовательное учреждение города Москвы лицей № 1548",,
161,42,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1825",,
162,42,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1420",,
163,42,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад № 732",,
164,43,"а. Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521",,
165,43,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 50",,
166,44,"а. Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500",,
167,44,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 37",,
168,44,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 927",,
169,45,"а. Государственное бюджетное образовательное учреждение города Москвы лицей № 1574",,
170,45,"б. Государственное бюджетное образовательное учреждение города Москвы центр образования № 175",,
171,45,"в. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 128",,
172,46,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 480 им. В.В. Талалихина",,
173,46,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 464 ",,
174,46,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1828",,
175,46,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1942",,
176,46,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2639",,
177,47,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования № 1240 ",,
178,47,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 96 ",,
179,47,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1931",,
180,47,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 652",,
181,47,"д. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1122",,
182,47,"е. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2647",,
183,47,"ё. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 342",,
184,47,"ж. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 521",,
185,47,"з. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 585",,
186,48,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования № 345",,
187,48,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 353 имени А.С. Пушкина",,
188,48,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 284",,
189,48,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2299",,
190,49,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241",,
191,49,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 87",,
192,49,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1926",,
193,49,"г. Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка-детский сад № 1786",,
194,49,"д. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 255",,
195,49,"е. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №1842 «Пересвет»",,
196,50,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2030",,
197,50,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1257",,
198,50,"в. Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка-детский сад № 2548",,
199,51,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",,
200,51,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1431",,
201,51,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №548",,
202,51,"г. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №752 «Золотая рыбка»",,
203,52,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №69 имени Б.Ш. Окуджавы",,
204,52,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад №1199",,
