"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
11;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1599";"109457, г. Москва, ул. Зеленодольская, д. 32, корп. 6";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 172-06-05";"gymuv1599.mskobr.ru";"info@gym1599.ru";107
12;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1303";"111033, г. Москва, Таможенный пр., д. 4";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 362-34-40";"lycg1303.mskobr.ru";"ses@1303.ru";128
13;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1524";"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"359-16-60";"dsuv2716.mskobr.ru";"lyceum1524@mail.ru";132
14;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1547";"109469, г. Москва, ул. Белореченская, д. 47, корп. 1";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"346-30-01";"licuv1547.mskobr.ru";"info@licey1547.ru";137
15;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1642";"111250, г.Москва, ул. Солдатская, д. 12а";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"362-69-66";"pgym1642.mskobr.ru";"progimnaziyan1642@yandex.ru";165
16;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1882";"109444, г. Москва ул. Ферганская, д. 16, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"376-42-11";"pgym1882.mskobr.ru";"progimnazia-1882@mail.ru";181
17;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1084";"109145, г.Москва ул. Привольная, д. 17, корп.1";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"705-59-24";"schuvz1084.mskobr.ru/";"sch1084@rambler.ru";201
18;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1321 ""Ковчег""";"111024, г.Москва Авиамоторная ул., д. 30а";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"673-11-44";"schuvz1321.mskobr.ru";"sch1321@yandex.ru";205
19;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1959";"107341, г. Москва, Перервинский бульвар, д. 16, корп. 1";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"346-45-51";"schuvz1959.mskobr.ru";"school-1959@mail.ru";210
20;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 2028";"109548, г. Москва, ул. Гурьянова д. 2, кор. 6";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"354-50-71";"schuvz2028.mskobr.ru";"school2028@mail.ru";212
21;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 473";"109429, г. Москва, Капотня, 2-й квартал, д.19 стр.1, стр.2";"Юго-Восточный административный округ";"район Капотня";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"355-01-96";"schuvz473.mskobr.ru";"school473@bk.ru";224
22;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1039";"109559, г. Москва, ул. Белореченская, д. 23А";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"359-35-36";"schuv1039.mskobr.ru";"shkola1039@yandex.ru";281
23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1040";"109144, г. Москва, Батайский проезд, д.47";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 348-50-10";"sch1040uv.mskobr.ru";"UVAO1040@mail.ru";283
24;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1043";"109652, г. Москва, ул. Люблинская, дом 173";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-57-83";"schuv1043.mskobr.ru";"sh1043@mail.ru";284
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1049";"109651, г.Москва, ул.Донецкая, д.14";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"357-11-40";"schuv1049.mskobr.ru";"school1049@yandex.ru";285
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1141";"109651, г. Москва, Батайский проезд, дом 21";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-43-71";"schuv1141.mskobr.ru";"sch1141@mail.ru";320
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1142";"109369, г. Москва, ул. Перерва, д. 36";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-35-81";"schuv1142.mskobr.ru";"school1142@mail.ru";321
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1143";"109387, г. Москва, ул. Краснодарская, дом 9";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"350-86-62";"sch1143uv.mskobr.ru";"sch1143@yandex.ru";322
29;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1145 имени Фритьофа Нансена";"Юго-Восточный   Марьино   ул. Маршала Голованова  Дом- 9";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-77-31";"schuv1145.mskobr.ru";"skl1145@mail.ru";323
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1147";"109144, г. Москва, Батайский пр., д. 45";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"357-45-30";"schuv1147.mskobr.ru";"shkola1147@mail.ru";324
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1314";"109377 г. Москва, ул. 1-я Новокузьминская, д. 20, к. 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"709-77-78";"schg1314.mskobr.ru";"school1314@yandex.ru";351
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1420";"109444, г. Москва, ул. Ташкентская, д. 21, к.2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"376-78-38";"couv1420.mskobr.ru";"center1420@mail.ru";359
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1423";"109451, г. Москва, Перервинский бульвар, д.5, корп. 3";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-58-88";"couv1423.mskobr.ru";"school1423@yandex.ru";360
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1462";"109451, г. Москва, Мячковский бульвар, дом 7, к. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"345-07-51";"couv1462.mskobr.ru";"sch_1462@mail.ru";365
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1493";"109341, г. Москва, ул. Новомарьинская, дом 7, корпус 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"347-87-26";"couv1493.mskobr.ru";"school1493@mail.ru";369
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1716 ""Эврика-Огонек""";"109451, Москва, улица Верхние поля, дом 40, корпус 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-59-21";"schuv1716.mskobr.ru";"sch1716@mail.ru";386
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1738 имени авиаконструктора М.Л. Миля";"109153, г. Москва, ул. Лермонтовский проспект, дом 14, корпус 2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"705-61-96";"sch1738uv.mskobr.ru";"sch1738@yandex.ru";389
38;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902";"109341, г. Москва, Мячковский бульвар, д. 10, корп. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"347-88-31";"schuv1902.mskobr.ru";"sch1902@nm.ru";408
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1904";"109652, г. Москва, ул. Люблинская, д. 167";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-57-75";"schuv1904.mskobr.ru";"school1904@rambler.ru";409
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1905";"109153, г. Москва, ул. Маршала Полубоярова, д. 22";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 705-67-00";"schuv1905.mskobr.ru/";"sch1905@mail.ru";410
41;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1908";"109156, г. Москва, ул. Привольная, 41";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"704-52-11";"www.schuv1908.mskobr.ru";"s1908k405@yandex.ru";411
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1909";"109156, город Москва, ул. Маршала Полубоярова, дом 12";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"704-40-51";"schuv1909.mskobr.ru";"sch1909@narod.ru";412
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1910";"109469, г. Москва, Мячковский бульвар, дом 25";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"348-72-00";"sch1910uv.mskobr.ru";"sch1910@mail.ru";414
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1922";"109153, г. Москва, ул. Привольная, д. 45";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"705-81-22";"schuv1922.mskobr.ru";"scholl_1922@mail.ru";419
45;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1935";"109431, г. Москва, ул. Авиаконструктора Миля, дом 18, корпус 2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 704-08-40; (495) 704-26-11; (495) 705-85-11";"schuv1935.mskobr.ru";"sch1935@mail.ru";425
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1937";"109444, г. Москва, Самаркандский бульвар, д. 28, корпус 2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"377-62-29";"schuv1937.mskobr.ru";"sch1937@yandex.ru";426
47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965";"109341, г. Москва, ул. Перерва, д. 41, корпус 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"345-05-61";"schuv1965.mskobr.ru";"scholl1965@inbox.ru";434
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1968";"109451, г. Москва, ул. Верхние поля, д. 30";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-52-67";"schuv1968.mskobr.ru";"ofis1968@mail.ru";435
49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1986 имени Героя Советского Союза М.П.Судакова";"109559, г. Москва, ул. Новороссийская, д. 36";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"359-55-01";"schuv1986.mskobr.ru";"shk1986@yandex.ru";446
50;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1987";"109559, г. Москва, ул. Белореченская, д. 36, корп. 1, 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"346-77-13";"schuv1987.mskobr.ru";"school1987ru@gmail.com";447
51;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1996";"109649, г. Москва, Капотня, 5 Квартал, д. 28";"Юго-Восточный административный округ";"район Капотня";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 355-65-29; (495) 355-35-38; (495) 355-34-92; (495) 355-37-29";"schuv1996.mskobr.ru";"school1996@rambler.ru";451
52;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2011 имени И.Н.Кожедуба";"109559, г. Москва, ул. Марьинский парк, д. 37";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-49-95";"schuv2011.mskobr.ru";"k.l.@bk.ru";460
53;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2012";"109559, г. Москва, ул. Верхние поля, д. 47, корпус 1";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-49-94";"schuv2012.mskobr.ru";"school2012@bk.ru";461
54;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2053";"111674, г. Москва, улица Покровская, дом 35";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 753-19-21; (499) 753-19-22";"dsuv2723.mskobr.ru";"s2053@mail.ru";483
55;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2056";"115432, Россия, г.Москва, 2-й Южнопортовый проезд, д.11";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"677-73-02,677-73-18";"couvz1804.mskobr.ru";"info@sch2056.ru";486
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 327";"109457, г. Москва, ул. Шумилова, д. 9";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 175-44-13";"schuv327.mskobr.ru";"gousosh327@yandex.ru";584
57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 329";"109456, г. Москва, 4-й Вешняковский проезд, д, 1, стр. 2";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"171-02-03";"schuv329.mskobr.ru";"sch329@yandex.ru";585
58;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 333 имени Героя Советского Союза В.С.Гризодубовой";"109462, г. Москва, Волгоградский проспект, д. 74, корп. 4";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"172-47-46";"schuv333.mskobr.ru";"shc333@mail.ru";588
59;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 335";"109386, г. Москва, Спортивный проезд, дом 3-А";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 350-08-56; (495) 350-07-38";"schuv335.mskobr.ru";"sch-335@yandex.ru";589
60;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 336";"109117, г. Москва, Волгоградский проспект, дом 103, корпус 6";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 177-26-88; (499) 173-97-22";"schuv336.mskobr.ru";"sch336@mail.ru";590
61;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 338";"109382, г. Москва, ул. Мариупольская, д. 3";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"351-89-03";"schuv338.mskobr.ru";"sch338@uvuo.ru";591
62;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 339 имени Героя Советского Союза М.С. Шумилова";"109443, г. Москва, ул. Зеленодольская, д. 33, корп. 2";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 172-59-60";"schuv339.mskobr.ru";"sch339@list.ru";592
63;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 393";"109386, г. Москва, ул Краснодарская, д. 45/11; г. Москва, ул. Ставропольская, д. 30, к. 2";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"358-80-46";"schuv393.mskobr.ru";"Director393@mail.ru";616
64;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 415";"""111033, г. Москва, Танковый проезд, д. 3 """"А""""""";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"362-32-25";"schuv415.mskobr.ru";"sch415@uvuo.ru";627
65;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 416";"111024, г. Москва, ул, Шепелюгинская дом 21 строение 1,2";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 361-30-34; (495) 362-18-30";"schuv416.mskobr.ru";"school416@inbox.ru";628
66;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 417";"111250, г.Москва Красноказарменная ул., д. 11";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"361-14-72";"schuv417.mskobr.ru";"school417@mail.ru";629
67;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424";"111020 г. Москва ул. Авиамоторная д.1";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"361-20-60";"schuv424.mskobr.ru";"shkola424@mail.ru";633
68;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 430";"111674, г. Москва, ул.1-я Вольская, д. 9, к.3";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"706-90-97";"sch430uv.mskobr.ru";"school430@mail.ru";637
69;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 436";"109444, г. Москва, ул. Ферганская, д. 7";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"371-78-61";"schuv436.mskobr.ru";"school436@mail.ru";640
70;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 439";"109202, г. Москва, ул. Басовская, д. 7";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-03-60; (499) 170-09-92";"schuv439.mskobr.ru";"school439@yandex.ru";642
71;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 460";"109559, г. Москва, Белореченская ул., д.11";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 358-03-12; (495) 358-06-10; (495) 358-06-47";"schuv460.mskobr.ru";"School460@yandex.ru";649
72;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 461";"109443, г. Москва, ул. Зеленодольская, д. 41, корп. 3";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 172-68-43";"schuv461.mskobr.ru";"School461@yandex.ru";650
73;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 468";"109457, г. Москва, ул. Федора Полетаева, д. 2, корп. 8";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"175-84-32";"schuv468.mskobr.ru/";"school468@mail.ru";653
74;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 469";"109044, г.Москва, Крутицкий вал, дом 5";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 674-06-09; (495) 674-06-08; (495) 676-54-02";"schuv469.mskobr.ru";"school.469@yandex.ru";654
