ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id
15;"Негосударственное некоммерческое образовательное учреждение Православная классическая гимназия во имя иконы Божей Матери ""Знамение"" в Ховрине";125581, г. Москва, ул. Ляпидевского, 10а;Северный административный округ;район Ховрино;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 456-41-87,(499) 747-97-14;nouznamenie.mskobr.ru;znamgimn@mail.ru;37,499652;55,857611;86887602
16;"Негосударственное образовательное учреждение Некоммерческая (частная) общеобразовательная Славяно-англо-американская школа ""Марина""";;Юго-Западный административный округ;Ломоносовский район;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 134-15-47,(499) 134-50-35;;saasmar@mail.ru;37,541583;55,682106;86887637
17;Негосударственное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением иностранного языка (английского) “Промо-М”;;Юго-Западный административный округ;район Тёплый Стан;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 438-38-11;noupromom.mskobr.ru;info@promo-m.ru;37,47347;55,644061;86887641
18;"Автономная некоммерческая образовательная организация ""Негосударственная общеобразовательная школа ""Ясенево""";;Юго-Западный административный округ;район Ясенево;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;421-85-77;nouschjasenevo.mskobr.ru;School-yasenevo@bk.ru;37,53778;55,594804;86887643
19;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка и информационных технологий № 1347;119618 г.Москва, ул. Главмосстроя, д.28;Западный административный округ;район Солнцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 727-74-14;schu1347.mskzapad.ru/;school1347@mail.ru;37,406457;55,657728;86887732
20;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1371;121614 г.Москва, ул. Крылатские холмы, д. 45, к.2;Западный административный округ;район Крылатское;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;413-25-74;schu1371.mskzapad.ru;sch1371@bk.ru;37,41366;55,762398;86887759
21;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1364;119619 г.Москва, ул. Производственная, д. 3, корп. 2;Западный административный округ;район Солнцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 792-43-30;schu1364.mskzapad.ru/;sch1364@rambler.ru;37,383668;55,64996;86887766
22;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением естественных наук № 1376;119634 г. Москва, улица Лукинская , дом № 12, корпус 1.;Западный административный округ;район Ново-Переделкино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 737-08-89;http://sch1376z.mskobr.ru/;sch1376@mail.ru;37,341141;55,648703;86887796
23;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1375;115533 г. Москва, Нагатинская наб., д.24;Южный административный округ;район Нагатино-Садовники;Государственное;Южное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 618-99-10;schuu1375.mskobr.ru;sch1375@sinergi.ru;37,658571;55,678424;86890233
24;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов естественнонаучного цикла № 1388;127006 г.Москва, Долгоруковская ул., д.6, стр.2;Центральный административный округ;Тверской район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(499) 978-42-44; (499) 978-27-67; (499) 978-96-28";schuc1388.mskobr.ru;sch1388@mail.ru;37,604829;55,775994;86890262
25;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики № 1384 имени А.А. Леманского;125252 Г. Москва, ул. Новопесчаная, д. 15;Северный административный округ;район Сокол;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;157-23-11;schs1384.mskobr.ru/;sch-144@mail.ru;37,515422;55,798277;86890365
26;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением изобразительного искусства № 1188;129346, г.Москва, ул. 1-я Напрудная, д.13;Северо-Восточный административный округ;Лосиноостровский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 475-89-46; (495) 475-64-08; (499) 760-49-34";schu1188sv.mskobr.ru/;school1188@gmail.com;37,691032;55,879917;86890383
27;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка № 110 имени Мигеля Эрнандеса;121069 г. Москва, Столовый пер., д.10/2, стр.1;Центральный административный округ;Пресненский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 690-30-97;schuc110.mskobr.ru;sch110@bk.ru;37,594703;55,756806;86893820
28;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1297;129110 г. Москва, Глинистый пер., д. 7, стр.1;Центральный административный округ;Мещанский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;631-21-14;schuc1297.mskobr.ru;1297school@mail.ru;37,638777;55,78924;86893821
29;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 506;115432, г. Москва, ул. Трофимова, дом 13 а;Юго-Восточный административный округ;Южнопортовый район;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 679-05-18;schuvu506.mskobr.ru;sch0506@yandex.ru;37,670281;55,704151;86896788
30;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики № 7;119331, г. Москва, улица Крупской, дом 17;Юго-Западный административный округ;Ломоносовский район;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;138-38-09;http://schuzu7.mskobr.ru/;school_7@inbox.ru;37,526938;55,682956;86899628
31;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1208;109443, г. Москва, ул. Зеленодольская, дом 33, корпус 3;Юго-Восточный административный округ;район Кузьминки;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 172-78-49;schuvu1208.mskobr.ru;1208@inbox.ru;37,771195;55,707763;86899646
32;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1222;109052, г. Москва, ул. Нижегородская, дом 64;Юго-Восточный административный округ;Нижегородский район;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;678-03-03;schuvu1222.mskobr.ru;schuvu1222.mskobr@yandex.ru;37,706352;55,732845;86899683
33;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1226;111116, г. Москва, ул. Красноказарменная, д. 21;Юго-Восточный административный округ;район Лефортово;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 362-56-80;schuvu1226.mskobr.ru;school1226@mail.ru;37,711249;55,754008;86899684
34;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1228;111024, г. Москва, Авиамоторная ул, д.42;Юго-Восточный административный округ;район Лефортово;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 673-10-64;schuvu1228.mskobr.ru;1228@uvuo.ru;37,720225;55,740683;86899685
35;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1229;111033, г.Москва, Верхний Золоторожский переулок, д. 2;Юго-Восточный административный округ;район Лефортово;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;362-46-00;schuvu1229.mskobr.ru;mail@1229.ru;37,679366;55,750401;86899686
36;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1256;109338, город Москва, улица Полбина, дом 38;Юго-Восточный административный округ;район Печатники;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;353-71-90;schuvu1256.mskobr.ru;sch1256@mail.ru;37,727652;55,68184;86899693
37;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1319;109469, г. Москва, Мячковский бульвар, дом 21;Юго-Восточный административный округ;район Марьино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 658-61-35;schuvu1319.mskobr.ru;sch1319lingua@mail.ru;37,760031;55,652285;86899694
38;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением биологии и химии № 1344;109472, г. Москва, ул. Чугунные ворота, дом 11;Юго-Восточный административный округ;район Выхино-Жулебино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;376-45-35;schuvu1344.mskobr.ru;mail@schuvu1344.ru;37,795921;55,696943;86899696
39;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики № 1350;109444, г. Москва, Ташкентский пер., д. 7, корп. 3;Юго-Восточный административный округ;район Выхино-Жулебино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 372-05-22; (495) 376-59-11";schuvu1350.mskobr.ru;sch1350@mail.ru;37,823443;55,706682;86899697
40;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1357;109451, г. Москва, Перервинский бульвар, дом 10, к. 2;Юго-Восточный административный округ;район Марьино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;346-26-10;schuvu1357.mskobr.ru;school1357@mail.ru;37,76347;55,659817;86899698
41;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1359;109145, г. Москва, Пронская ул., д. 4, кор. 1;Юго-Восточный административный округ;район Выхино-Жулебино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 705-53-32; (495) 705-57-00; (495) 705-40-60";schuvu1359.mskobr.ru;sch1359@mail.ru;37,84501;55,701608;86899699
42;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1363;109542, г.Москва, Рязанский проспект, д. 82, корп. 4;Юго-Восточный административный округ;район Выхино-Жулебино;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;376-61-44;schu1363uv.mskobr.ru;sch1363@mail.ru;37,823781;55,707824;86899700
43;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1366;111674, город Москва, ул. Вольская 1-я, д.22, корп 2;Юго-Восточный административный округ;район Некрасовка;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(499) 211-25-34; (499) 211-25-31; (499) 211-25-32; (499) 211-25-30";schuvu1366.mskobr.ru;info@school1366.ru;37,926376;55,682485;86899701
44;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386;109125, г. Москва, Васильцовский переулок, д. 1;Юго-Восточный административный округ;Рязанский район;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 796-22-60;schuvu1386.mskobr.ru;w1386@mail.ru;37,745737;55,718233;86899702
45;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1367;109125, Москва, ул. Васильцовский стан, д 6.;Юго-Восточный административный округ;Рязанский район;Государственное;Юго-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 503-85-37;schuv488.mskobr.ru;1367@bk.ru;37,742441;55,712092;86899704
46;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1205;117335, г. Москва, улица Архитектора Власова, дом 19а;Юго-Западный административный округ;район Черёмушки;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 128-18-33;http://schuuz1205.mskobr.ru;info1205@yandex.ru;37,554385;55,676918;86899785
47;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1206;117593, г. Москва, Литовский бульвар  дом 3, корпус 3;Юго-Западный административный округ;район Ясенево;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;426-64-22;;sch1206@mail.ru;37,548607;55,612259;86899786
48;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1260;119333, г. Москва, ул. Фотиевой, дом 14, корп. 3;Юго-Западный административный округ;Гагаринский район;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;137-57-81;;;37,55715;55,699821;86899787
49;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1264;119313, г.Москва, Ленинский проспект, д. 93 а, 93 б, 91 А;Юго-Западный административный округ;Ломоносовский район;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;132-37-77;schuuz1264.mskobr.ru;infschool1264@mail.ru;37,528928;55,674799;86899788
50;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1265;119333, г. Москва, ул. Фотиевой, 14, корп. 1;Юго-Западный административный округ;Гагаринский район;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;137-68-64;http://schuuz1265.mskobr.ru;sch1265@mosuzedu.ru;37,558288;55,699086;86899789
51;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1266;119334, г. Москва, Ленинский проспект, дом 43А;Юго-Западный административный округ;Гагаринский район;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;135-32-90;http://schuuz1266.mskobr.ru;s1266@rambler.ru;37,576129;55,704525;86899790
52;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1267;117465, г.Москва, ул. Теплый Стан, дом 13, корп. 4;Юго-Западный административный округ;район Тёплый Стан;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;337-68-11;schuuz1267.mskobr.ru;1267@inbox.ru, 1267@1267.ru;37,492426;55,620294;86899791
53;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1273;117647, г.Москва, улица Академика Капицы, д.12;Юго-Западный административный округ;район Коньково;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;420-15-00;http://schuuz1273.mskobr.ru/;sch1273@yandex.ru;37,522547;55,629243;86899792
