ROWNUM;name;adress;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
20;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1440";"121609 г.Москва, Осенний бульвар, д. 10, корпус 3";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"415-98-55";"co1440.mskzapad.ru";"sch1304@inbox.ru";"37,412665";"55,757531";"86887751";
21;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1432 ""Новая школа""";"119634 г.Москва, ул.Шолохова, д. 19";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"732-74-60";"co1432.mskzapad.ru";"sch1019@mail.ru";"37,341367";"55,642621";"86887754";
22;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1455";"119633 г.Москва, Боровское шоссе, д.18, корп.4";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"732-13-50";"co1455.mskzapad.ru";"sch2002adm@mail.ru";"37,366901";"55,650978";"86887757";
23;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1436";"119297 г.Москва, ул. Родниковая, д.20, корпус 1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"934-76-20";"co1436.mskzapad.ru";"ce1436@mail.ru";"37,380609";"55,63428";"86887770";
24;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1437";"119634 г. Москва, ул. Федосьино, д.16, корп.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"731-10-55";"co1437.mskzapad.ru";"co_1437@mail.ru";"37,336993";"55,639877";"86887771";
25;"Негосударственное образовательное учреждение центр образования ""Православная классическая гимназия ""Радонеж""";"";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 423-51-22";"";"info@gymnasia-radonezh.ru";"37,513574";"55,599126";"86887799";
26;"Негосударственное образовательное учреждение центр образования «Православный Центр непрерывного образования во имя преподобного Серафима Саровского»";"115597, Москва, ул. Ясеневая д.33 корп.2";"Южный административный округ";"район Орехово-Борисово Южное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 548-24-12,(495) 399-44-79";"";"pravoslavnycentr@inbox.ru";"37,73876";"55,606526";"86890207";
27;"Частное учреждение Центр образования «Русская школа»";"115569,г.Москва ,ул.Дольская,д.2";"Южный административный округ";"район Орехово-Борисово Северное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"548-07-55";"";"";"37,681485";"55,616955";"86890209";
28;"Частное учреждение Центр Образования ""Столичный - КИТ""";"115162, Москва, Хавская ул., д.5";"Южный административный округ";"Даниловский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(499) 764-74-87";"noustolichnkit.mskobr.ru";"s-kit@bk.ru";"37,614535";"55,717683";"86890219";
29;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1448";"119192 г.Москва, Мичуринский проспект, д. 5, корпус 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 641-16-27";"";"school1448@mail.ru";"37,512648";"55,702474";"86890227";
30;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1485";"119571 г.Москва, Проспект Вернадского, д. 127, корпус 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 438-75-44; (495) 438-75-56; (495) 438-75-88; (495) 438-71-65; (495) 438-65-56; (495) 438-75-66; (495) 438-55-65; (495) 438-61-92";"co1485.mskzapad.ru";"school1485@mail.ru";"37,483574";"55,653386";"86890229";
31;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1473 имени Григория Алексеевича Тарана";"119027 г.Москва, пос. Внуково, ул. Центральная, д. 15 А";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 436-84-07; (495) 436-82-27; (495) 436-28-07";"co1473.mskzapad.ru";"sch1473@bk.ru";"37,288846";"55,613076";"86890232";
32;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1471";"121614 г. Москва, ул. Крылатская, д.25";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"413-33-32";"";"1471ec@gmail.com";"37,4136";"55,770761";"86890242";
33;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1468";"109544 г.Москва, Новорогожская ул., д.9.";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 678-73-78; (495) 678-74-71";"coc1468.mskobr.ru";"tsentr1468@mail.ru";"37,680907";"55,742785";"86890261";
34;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1467";"119634 г.Москва, ул.Шолохова, д. 9";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"733-53-42";"co1467.mskzapad.ru";"sch1006@yandex.ru";"37,347582";"55,639118";"86890269";
35;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1463";"123368, г.Москва, ул.Барышиха, д.29, к.1";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"754-14-61";"co1463.mskobr.ru/";"sch1463@szouo.ru";"37,34348";"55,846581";"86890272";
36;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1460";"109156, г. Москва, ул. Привольная, д. 37";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 704-52-10; (495) 704-56-01; (495) 704-53-11";"co1460uv.mskobr.ru";"school1907@mail.ru";"37,851274";"55,691562";"86890276";
37;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1454";"127422,  г. Москва, улица Тимирязевская, дом 14 ""А""";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 611-15-38";"schs1454.mskobr.ru/";"co1454@mail.ru";"37,567834";"55,81428";"86890279";
38;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1476";"105568, Москва, ул. Челябинская, д. 20";"Восточный административный округ";"район Ивановское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"308-00-29";"cov1476.mskobr.ru";"shkla350@rambler.ru";"37,831504";"55,777024";"86890282";
39;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1483";"105043, г. Москва, 7-я Парковая,  дом  1-а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 367-79-54";"cov1483.mskobr.ru";"director@centr1483.ru";"37,793722";"55,790653";"86890284";
40;"Государственное бюджетное образовательное учреждение города Москвы Центр образования №1080 ""Экополис""";"107392, г. Москва, ул. Знаменская, д.12/4";"Восточный административный округ";"район Преображенское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 161-75-39";"cov1080.mskobr.ru";"s1080@mail.ru";"37,720972";"55,801642";"86890285";
41;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1488";"119415  г.Москва, Ленинский проспект, д.132";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"432-87-62";"co1488.mskzapad.ru";"co1488@mail.ru";"37,508563";"55,666998";"86890286";
42;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1490";"127253 г. Москва, ул. Псковская, дом 12, корпус 3";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"400-76-00";"co1490sv.mskobr.ru";"co1490-svuo@yandex.ru";"37,554359";"55,903542";"86890290";
43;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1491";"127562, город Москва, улица  Каргопольская, дом 13, корпус 2";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 903-77-32";"co1491sv.mskobr.ru";"sch971@yandex.ru";"37,590319";"55,864892";"86890291";
44;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1494";"127427, город  Москва, улица Ботаническая, дом 9А";"Северо-Восточный административный округ";"район Марфино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 975-06-08; (499) 975-06-09";"co1494sv.mskobr.ru/";"School_247@bk.ru";"37,600276";"55,824112";"86890292";
45;"Государственное бюджетное образовательное учреждение города Москвы Центр образования №1498";"119 607 г.Москва, Мичуринский проспект, д. 23";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"932-75-22";"cog1498.mskobr.ru";"1498@mosintschool.ru";"37,50694";"55,694407";"86890298";
46;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 465";"109147 г.Москва, Б.Факельный пер., д.23, стр.1-1А";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"911-35-26";"coc465.mskobr.ru";"465sch@rambler.ru";"37,66816";"55,74121";"86890299";
47;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 2006";"117216, г.Москва, ул. Грина, дом 18, корпус 3, строение 1";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"714-86-63";"http://couz2006.mskobr.ru/";"info@school2006.ru";"37,582205";"55,566116";"86890301";
48;"Государственное бюджетное образовательное учреждение города Москвы центр образования  № 656 имени А.С. Макаренко";"127474, г. Москва, Бескудниковский бульвар, дом 29";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"488-04-12";"cos656.mskobr.ru";"school656@mail.ru";"37,552408";"55,871016";"86890304";
49;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1884";"""127486,  г. Москва, ул. Дегунинская, дом 17 """"А""""""";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 905-48-83";"cos1884.mskobr.ru";"school1884@rambler.ru";"37,529526";"55,86729";"86890308";
50;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 117";"117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"134-70-95";"http://couz117.mskobr.ru";"sch117@rambler.ru";"37,531334";"55,673647";"86890315";
51;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1456";"117623, г.Москва, ул. 3-я Железногорская, дом 11А";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"712-79-98";"";"center1456@mosuzedu.ru";"37,548249";"55,521714";"86890318";
52;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1450";"117556, г. Москва, ул. Фруктовая д.9";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 613-22-66";"cou1450.mskobr.ru";"sch1450@sinergi.ru";"37,612194";"55,658691";"86890336";
53;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1613";"117628, г. Москва, ул. Ратная, дом 6 Б";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"711-16-45";"http://couz1613.mskobr.ru/";"sch1069@mosuzedu.ru";"37,586731";"55,573951";"86893828";
54;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1130";"121609 г. Москва, ул. Осенняя, д.8, к.1,3";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 413-03-04; (495) 415-29-67";"sch1130.mskzapad.ru";"sch1130@mtu-net.ru";"37,405065";"55,760811";"86893999";
55;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 641 имени Сергея Есенина";"109462, г. Москва, Волгоградский проспект, д.66, корпус 4";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 172-36-36";"couv641.mskobr.ru";"sch641@inbox.ru";"37,758692";"55,704435";"86896797";
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 919 имени  Маршала Советского Союза С.К.Куркоткина";"109386, г. Москва, ул. Краснодарская, д. 25, корп. 2";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 359-52-29";"couv919.mskobr.ru";"sch919@yandex.ru";"37,751983";"55,679386";"86899617";
57;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1085";"109548, г. Москва, ул. Гурьянова, д. 15";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"353-68-50";"couv1085.mskobr.ru";"school1085@yandex.ru";"37,721859";"55,68905";"86899631";
58;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 118";"119311, г.Москва, Ленинский проспект, д.76";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"930-40-08";"http://www.couz118.mskobr.ru/";"co118@inbox.ru";"37,52965";"55,687031";"86899659";
59;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 170 имени А.П.Чехова";"""117485, г. Москва, Профсоюзная ул., дом 96 ""Б""";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"335-50-77";"http://couz170.mskobr.ru";"center170@mosuzedu.ru";"37,521251";"55,647012";"86899665";
60;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1403";"109125,  г.Москва 1-й Саратовский пр-д, д. 5";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 177-74-01; (499) 177-74-11";"couv1403.mskobr.ru";"co-1403@yandex.ru";"37,736363";"55,71165";"86899703";
61;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1408";"109443, г. Москва, Есенинский бульвар, д. 14, корп. 2";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 742-65-71";"couv1408.mskobr.ru";"school1408@bk.ru";"37,774774";"55,700624";"86899706";
62;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1417";"109559, г. Москва, ул. Марьинский парк, д. 43";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"659-49-98";"couv1417.mskobr.ru/";"shkola1417@mail.ru";"37,793531";"55,671694";"86899707";
63;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1421";"109117, г. Москва, ул. Васильцовский стан, д. 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 501-09-18";"co1421uv.mskobr.ru";"1co1421@rambler.ru";"37,753109";"55,713492";"86899709";
64;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1422";"109548, г. Москва, ул. Шоссейная, д. 7";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 746-46-38";"couv1422.mskobr.ru";"centr1422@yandex.ru";"37,728913";"55,689566";"86899715";
65;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1439";"109431, г. Москва, Жулебинский бульвар, дом 38";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"704-08-37";"couv1439.mskobr.ru";"school1439@mail.ru";"37,847861";"55,683927";"86899717";
66;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1469";"109462, г. Москва, ул. Юных Ленинцев, д. 45, корп. 2";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 179-88-57";"couv1469.mskobr.ru";"co1469@mail.ru";"37,754103";"55,702201";"86899719";
67;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1830";"111674, г. Москва, ул. 1-я Вольская, д. 5";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 706-94-01";"couv1830.mskobr.ru";"zo1830@mail.ru";"37,918341";"55,684378";"86899729";
68;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1881";"109369, г. Москва, ул. Перерва, дом 44";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 349-21-31; (495) 349-05-30; (495) 349-14-03";"couv1881.mskobr.ru";"ce1881@mail.ru";"37,735698";"55,65176";"86899731";
69;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1877 ""Люблино""";"109382, г. Москва, ул. Краснодонская, д. 40";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"351-00-00";"couv1877.mskobr.ru";"co1877@mail.ru";"37,747803";"55,668719";"86899732";
70;"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989";"109451, г. Москва, ул. Белореченская, д. 45, к. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 654-96-27; (495) 654-96-25";"couv1989.mskobr.ru";"co1989@yandex.ru";"37,776494";"55,663762";"86899767";
71;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 2010";"109559, г. Москва, ул. Белореченская, д. 8";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"359-17-45";"couv2010.mskobr.ru/";"school2010@mail.ru";"37,74821";"55,667344";"86899769";
72;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1311 ""Тхия""";"119421, г.Москва, Ленинский проспект, дом 97, корпус 1";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 132-32-56";"http://couz1311.mskobr.ru/";"";"37,523572";"55,671448";"86899795";
73;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1445";"117574, г.Москва, улица Голубинская, дом 5, корпус 4";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"423-38-22";"http://couz1445.mskobr.ru/";"jshev@mail.ru";"37,518838";"55,602661";"86904006";
74;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 175";"127006 г.Москва, Старопименовский пер., д.5";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 699-88-00; (495) 694-20-68";"coc175.mskobr.ru";"school175@list.ru";"37,600646";"55,769336";"86904064";
75;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 345";"105066 г.Москва, Елоховский пр-д., д.1, стр.5";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 267-66-76";"coc345.mskobr.ru/";"info@school345.ru";"37,670134";"55,772137";"86904071";
76;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 497";"109240 г. Москва, 1-ый Котельнический пер., д.5";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 915-30-55";"co497c.mskobr.ru";"sch497@mail.ru";"37,646289";"55,743663";"86904082";
77;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1239";"123001 г.Москва, Вспольный пер.,д.6, стр.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 690-36-48; (495) 690-17-82";"coc1239.mskobr.ru";"mail@1239.ru";"37,588731";"55,760305";"86904098";
