ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id
149;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686195;55,798441;87029571
150;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685886;55,798762;87029572
151;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685802;55,798502;87029573
152;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685243;55,798052;87029574
153;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685586;55,797879;87029575
154;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,688124;55,803762;87029576
155;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,68471;55,797678;87029577
156;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686941;55,798492;87029578
157;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686366;55,798842;87029579
158;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686659;55,798676;87029580
159;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686097;55799;87029581
160;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,687488;55,798323;87029582
161;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685012;55,797859;87029583
162;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,687265;55,798141;87029584
163;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,82756;55,715998;87029585
164;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,825446;55,717098;87029586
165;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685506;55,798197;87029587
2;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1541;119415 г. Москва, пр. Вернадского, д. 55;Западный административный округ;район Проспект Вернадского;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;431-46-76;http:/gym1541.mskzapad.ru/;gym1541@mail.ru;37,505496;55,673368;86660719
3;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1542;119620, г. Москва, ул. Авиаторов, дом 8, корпус 2;Западный административный округ;район Солнцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;934-87-32;gym1542.mskzapad.ru/;1542@inbox.ru;37,399572;55,646767;86660720
4;Государственное бюджетное образовательное учреждение Московская гимназия на Юго-Западе № 1543;119571 г.Москва, 26 Бакинских комиссаров, д. 3, корпус 5;Западный административный округ;район Тропарёво-Никулино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;434-26-44;;adm1543@yandex.ru;37,486343;55,65606;86660721
5;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1567;121170 г.Москва, Кутузовский проезд, д.10, стр.1;Западный административный округ;район Дорогомилово;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 148-15-32;;gimn1567@mail.ru;37,523368;55,741435;86660722
14;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1584;121615 г.Москва, Рублевское шоссе, д. 24, корпус 3;Западный административный округ;район Кунцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 413-34-67; (495) 413-34-91";ds1334.mskzapad.ru/;school1131@mail.ru;37,430137;55,744966;86887795
15;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1588;121357 г. Москва, ул. Инициативная, д. 1;Западный административный округ;район Фили-Давыдково;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;444-25-71;gym1588.mskzapad.ru;sch803@mail.ru;37,461107;55,716544;86890225
16;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1596;119633 г.Москва, ул. Приречная,д.1;Западный административный округ;район Ново-Переделкино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 733-54-10; (495) 733-54-13; (495) 731-10-01; (495) 733-56-72; (495) 733-86-04";gym1596.mskzapad.ru/;school1016@mail.ru;37,371638;55,641567;86890252
17;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1593;121614 г.Москва, ул. Крылатские холмы, д. 28, корпус 1;Западный административный округ;район Крылатское;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 413-85-55; (495) 413-77-75; (495) 415-50-04";gym1593mskzapad.ru;school1128@mail.ru;37,414652;55,764904;86890270
20;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306;119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3;Западный административный округ;район Раменки;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;932-89-42;gymg1306.mskobr.ru;administration@sch1306.ru;37,509049;55,698245;86890295
121;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306;119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3;Западный административный округ;район Раменки;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;932-89-42;gymg1306.mskobr.ru;administration@sch1306.ru;37,508133;55,699035;87029147
167;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1584;121615 г.Москва, Рублевское шоссе, д. 24, корпус 3;Западный административный округ;район Кунцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 413-34-67; (495) 413-34-91";ds1334.mskzapad.ru/;school1131@mail.ru;37,428105;55,739341;87029924
168;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1584;121615 г.Москва, Рублевское шоссе, д. 24, корпус 3;Западный административный округ;район Кунцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 413-34-67; (495) 413-34-91";ds1334.mskzapad.ru/;school1131@mail.ru;37,428899;55,745363;87029925
75;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528;124527, г. Москва, Зеленоград, корп. 817;Зеленоградский административный округ;район Старое Крюково;Государственное;Зеленоградское окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 710-33-02; (499) 710-47-20";http://gymzg1528.mskobr.ru;s1528@zou.ru;37,182054;55,980081;86931025
134;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528;124527, г. Москва, Зеленоград, корп. 817;Зеленоградский административный округ;район Старое Крюково;Государственное;Зеленоградское окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 710-33-02; (499) 710-47-20";http://gymzg1528.mskobr.ru;s1528@zou.ru;37,190778;55,976398;87029295
135;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528;124527, г. Москва, Зеленоград, корп. 817;Зеленоградский административный округ;район Старое Крюково;Государственное;Зеленоградское окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 710-33-02; (499) 710-47-20";http://gymzg1528.mskobr.ru;s1528@zou.ru;37,178956;55,995564;87029296
65;Государственное бюджетное образовательное учреждение города Москвы гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских;125130, г. Москва, улица Зои и Александра Космодемьянских, дом 3;Северный административный округ;Войковский район;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 450-95-37; (499) 159-92-65";schsg201.mskobr.ru/;gymnasia201@yandex.ru;37,504292;55,821397;86930475
66;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1570;125040, г. Москва, 5-я улица Ямского поля, д. 28/32;Северный административный округ;район Беговой;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;612-71-81;gyms1570.mskobr.ru;gimnasia1570@yandex.ru;37,57703;55,789295;86930555
67;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1576;125299, г. Москва, ул. Большая Академическая, д.22-А;Северный административный округ;район Коптево;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;450-77-07;http://gyms1576.mskobr.ru;school@ultranet.ru;37,529302;55,822928;86930557
68;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1583;125493, г. Москва, улица Смольная, дом 25;Северный административный округ;Головинский район;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;458-02-57;gym1583s.mskobr.ru;1583gi@gmail.com;37,494518;55,849902;86930558
69;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1590;125581, г. Москва, ул. Фестивальная, д. 16;Северный административный округ;район Ховрино;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 454-02-80; (495) 454-31-31";gyms1590.mskobr.ru;gymn1590@mail.ru;37,497294;55,859659;86930559
70;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1592;127247, г. Москва, Бескудниковский проезд, дом 4 Б;Северный административный округ;Бескудниковский район;Государственное;Северное окружное управление образования;Общеобразовательное учреждение;Гимназия;489-73-25;gyms1592.mskobr.ru;1592@inbox.ru;37,555452;55,875192;86930560
18;Государственное бюджетное образовательное учреждение города Москвы гимназия №1539;129626, г. Москва, ул. Староалексеевская, дом 1;Северо-Восточный административный округ;Алексеевский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 686-29-80;gum1539sv.mskobr.ru/;gimnazia1539@yandex.ru;37,642074;55,810397;86890293
19;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1558 имени Росалии де Кастро;129327,  Москва, Чукотский проезд, д. 6;Северо-Восточный административный округ;Бабушкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;471-23-54;gymsv1558.mskobr.ru/;colrosaliacastro@mail.ru;37,65592;55,868529;86890294
23;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1506;127282, г. Москва, ул. Широкая, д.1А;Северо-Восточный административный округ;район Северное Медведково;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 476-00-89; (499) 476-38-56";gym1506sv.mskobr.ru;sch1506@yandex.ru;37,651042;55,889751;86890312
24;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1518;129085, г. Москва, проспект Мира, д. 87;Северо-Восточный административный округ;Останкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 687-66-66;gum1518.svao.mskobr.ru;gou1518@mail.ru;37,635144;55,802929;86890313
37;Государственное бюджетное образовательное учреждение города Москвы Государственная столичная гимназия;127543 Белозерская улица, д. 12;Северо-Восточный административный округ;район Бибирево;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 901-22-18; (499) 745-33-23";gymssv1.mskobr.ru;fertmanv@gmail.com;37,616216;55,895605;86893893
48;Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554;127490, г. Москва, ул. Пестеля, д.5,9А;Северо-Восточный административный округ;район Отрадное;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 203-17-90;gum1554sv.mskobr.ru;Gymn-1554@yandex.ru;37,606217;55,869329;86907930
49;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1565 ""Свиблово""";129323, г. Москва, ул. Седова, д. 4, корп. 1;Северо-Восточный административный округ;район Свиблово;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 656-60-81;gum1565sv.mskobr.ru/;edu1565@mail.ru;37,642182;55,852872;86907931
50;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1572;127018, г.Москва, Октябрьский пер., д.11;Северо-Восточный административный округ;район Марьина Роща;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;681-67-58;gum1572sv.mskobr.ru/;gimnaz1572@mail.ru;37,610008;55,786661;86907932
51;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1573;127253, г. Москва, ул. Псковская, д.11;Северо-Восточный административный округ;район Лианозово;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 501-13-27;http://gum1573.svao.mskobr.ru/;Gym1573@yandex.ru;37,552777;55,906675;86907933
52;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1577;129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6;Северо-Восточный административный округ;Ярославский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 188-47-47;gym1577sv.mskobr.ru/;gym1577@yandex.ru;37,690459;55,852786;86907934
63;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1503;129626, г.Москва, ул.П.Корчагина, д.18;Северо-Восточный административный округ;Алексеевский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 683-77-12;gymsv1503.mskobr.ru;sch_1503@gor.educom.ru;37,658285;55,817286;86930434
64;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";129085, г. Москва, ул. Годовикова, д.4, стр.3;Северо-Восточный административный округ;Останкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 687-01-07;gym1531sv.mskobr.ru;Sch1531edu@yandex.ru;37,631801;55,803952;86930446
90;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1558 имени Росалии де Кастро;129327,  Москва, Чукотский проезд, д. 6;Северо-Восточный административный округ;Бабушкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;471-23-54;gymsv1558.mskobr.ru/;colrosaliacastro@mail.ru;37,654054;55,868199;87013748
122;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1518;129085, г. Москва, проспект Мира, д. 87;Северо-Восточный административный округ;Останкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 687-66-66;gum1518.svao.mskobr.ru;gou1518@mail.ru;37,634879;55,803707;87029148
136;Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554;127490, г. Москва, ул. Пестеля, д.5,9А;Северо-Восточный административный округ;район Отрадное;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 203-17-90;gum1554sv.mskobr.ru;Gymn-1554@yandex.ru;37,611873;55,865627;87029346
137;Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554;127490, г. Москва, ул. Пестеля, д.5,9А;Северо-Восточный административный округ;район Отрадное;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 203-17-90;gum1554sv.mskobr.ru;Gymn-1554@yandex.ru;37,613411;55,864558;87029347
