ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1013";"119633 г. Москва, ул. Приречная, д.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"733-56-73";"schz1013.mskzapad.ru";"school1013@gmail.com";"37,371615";"55,642629";"86890238";
12;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 812";"не определено";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"735-66-51";"schz812.mskzapad.ru";"shkola812@mail.ru";"37,460896";"55,66946";"86890239";
13;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 630";"117105, Москва, Варшавское шоссе, д.12";"Южный административный округ";"Донской район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 954-93-65; (495) 954-92-05; (495) 954-92-08";"schzu630.mskobr.ru";"sch630@sinergi.ru";"37,619252";"55,696992";"86890241";
14;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 404";"111539, г.Москва, ул. Реутовская, д. 16 А";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"370-06-51";"schzv404.mskobr.ru";"40406@mail.ru";"37,836609";"55,734801";"86890268";
15;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 533";"117461, город Москва, улица Каховка, дом 19, корпус 3";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 121-60-80";"http://schzuz533.mskobr.ru/";"school533@bk.ru";"37,576591";"55,651811";"86890273";
16;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 64";"121351 г.Москва, ул.Партизанская, д. 30, корпус 2, стр. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-24-07";"schz64.mskzapad.ru";"sch-64@list.ru";"37,414135";"55,736988";"86890287";
17;"государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 268";"129090 г. Москва, ул. Гиляровского., д.21";"Центральный административный округ";"Мещанский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 688-49-98; (495) 688-71-05";"schzc268.mskobr.ru";"gou268@mail.ru";"37,629972";"55,777576";"86890300";
18;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  ""Школа здоровья"" № 668 имени Героя Советского Союза В.П.Кислякова";"127644, г. Москва, Вагоноремонтная улица, дом 15-А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"485-78-18";"schz668s.mskobr.ru";"sch668.06@mail.ru";"37,532761";"55,896528";"86893829";
19;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 939";"115563 г. Москва, Борисовский проезд, дом 40, клорпус 2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 393-14-90";"schu939.mskobr.ru";"sch939@sinergi.ru";"37,723924";"55,613654";"86893895";
20;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 473";"109429, г. Москва, Капотня, 2-й квартал, д.19 стр.1, стр.2";"Юго-Восточный административный округ";"район Капотня";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"355-01-96";"schuvz473.mskobr.ru";"school473@bk.ru";"37,798085";"55,639485";"86896776";
21;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1084";"109145, г.Москва ул. Привольная, д. 17, корп.1";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"705-59-24";"schuvz1084.mskobr.ru/";"sch1084@rambler.ru";"37,840538";"55,698704";"86899626";
22;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 27";"117593, город Москва, Литовский бульвар, дом 17, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"426-71-83";"http://schzuz27.mskobr.ru/";"sch27@list.ru";"37,550088";"55,606317";"86899647";
23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 48";"117133, г.Москва, ул. Теплый Стан, д.25-а";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"337-83-11";"http://schzuz48.mskobr.ru/";"";"37,481649";"55,628534";"86899649";
24;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 521";"117449, г.Москва, улица Новочерёмушкинская, дом 3";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"126-04-48";"http://schzuz521.mskobr.ru/users/";"school521@bk.ru";"37,592028";"55,687668";"86899678";
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 523";"117418, г. Москва, ул. Цюрупы, д. 14А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"128-56-24";"http://schzuz523.mskobr.ru/";"school523@yandex.ru";"37,571469";"55,669309";"86899680";
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 539";"117246, г.Москва, улица Херсонская, дом 30, корпус 3";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"332-80-01";"http://schzuz539.mskobr.ru/";"sch539@mosuzedu.ru";"37,562628";"55,655252";"86899690";
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 554";"117209, г.Москва, Болотниковская улица, дом 47, корпус 2";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"121-91-19";"http://schzuz554.mskobr.ru";"school554@mosuzedu.ru";"37,581644";"55,661296";"86899692";
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1321 ""Ковчег""";"111024, г.Москва Авиамоторная ул., д. 30а";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"673-11-44";"schuvz1321.mskobr.ru";"sch1321@yandex.ru";"37,74958";"55,672647";"86899695";
29;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 568";"117186, город Москва, улица Нагорная, дом 32, корпус 3";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 127-58-98";"http://schzuz568mskobr.ru";"sae568@mail.ru";"37,595964";"55,675395";"86899705";
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1959";"107341, г. Москва, Перервинский бульвар, д. 16, корп. 1";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"346-45-51";"schuvz1959.mskobr.ru";"school-1959@mail.ru";"37,769802";"55,655712";"86899748";
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 898 имени генерала И.Д.Стаценко";"117465, г. Москва, ул. Профсоюзная, дом 156, корпус 6";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"338-17-15";"http://schzuz898.mskobr.ru";"sch898@mosuzedu.ru";"37,493502";"55,61771";"86899750";
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1065";"117624, г.Москва, ул. Скобелевская, дом 28";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"716-78-45";"";"1065@mail.ru";"37,553789";"55,544797";"86899755";
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 2028";"109548, г. Москва, ул. Гурьянова д. 2, кор. 6";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"354-50-71";"schuvz2028.mskobr.ru";"school2028@mail.ru";"37,720539";"55,693009";"86899772";
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1115";"117209, г.Москва, ул. Перекопская, д.28";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(903) 569-74-44";"http://schzuz1115.mskobr.ru";"sch1115@mosuzedu.ru";"37,570382";"55,661684";"86899779";
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1181";"117513, г. Москва, Ленинский проспект, д.117";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"936-93-84";"http://schzuz1181.mskobr.ru";"school1181@mail.ru";"37,490598";"55,651639";"86899783";
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1979";"117041, г.Москва, улица Адмирала Лазарева, дом 40, корпус 2";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"715-59-81";"";"";"37,521086";"55,545194";"86904036";
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 50";"119034 г. Москва, Кропоткинский переулок, д.10";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 246-43-13";"sch50c.mskobr.ru";"50sch@rambler.ru";"37,592231";"55,738833";"86904054";
38;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 464";"109316 г.Москва, ул.Талалихина, д.20, стр.1";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(095) 670-94-20";"schzc464.mskobr.ru/";"sch464@mail.ru";"37,677591";"55,734235";"86904079";
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 266";"г. Москва, ул. Череповецкая д. 10А";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 200-70-00";"schz266.svao.mskobr.ru";"schl266@yandex.ru";"37,571144";"55,897029";"86907889";
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 306";"129226, г. Москва, ул. Сельскохозяйственная, д. 20, кор.1";"Северо-Восточный административный округ";"район Ростокино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 181-41-14";"schz306sv.mskobr.ru/";"sch0306@yandex.ru";"37,642717";"55,837093";"86907890";
41;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1138";"129329, город Москва, Тенистый проезд, д. 8, строение 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 180-23-98";"schz1138.svao.mskobr.ru";"sch1138@yandex.ru";"37,639435";"55,860373";"86907891";
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 606";"127566, г.Москва, улица  Бестужевых, дом 25 Б";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"404-05-04";"schz606sv.mskobr.ru";"sch606@yandex.ru";"37,61361";"55,871809";"86907892";
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 440";"105203, г.Москва, Измайловский проспект, дом 115";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 465-51-59";"sch440.mskobr.ru";"megorthenkov@mail.ru";"37,812644";"55,78971";"86914838";
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 788";"111398, г. Москва, улица Перовская, дом 24, строение 1";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"306-68-40";"schzv788.mskobr.ru";"sch788vik@mail.ru";"37,770136";"55,746131";"86914839";
45;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 892";"111539, город Москва, ул. Реутовская,  д. 2 а";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"375-84-86";"schz892.mskobr.ru";"sch892@mail..ru";"37,832804";"55,74102";"86914840";
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1025";"111672, г. Москва, ул. Новокосинская,  д.  42А";"Восточный административный округ";"район Новокосино";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"702-32-37";"sch1025.mskobr.ru";"school1025@yandex.ru";"37,874056";"55,741633";"86914842";
47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1349";"107370, г. Москва, Открытое ш., д.6, стр.12";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 168-81-01";"schzv1349.mskobr.ru";"school1349@mail.ru";"37,735256";"55,809417";"86914843";
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1849";"105568, г. Москва, ул. Челябинская, д. 9, стр. 1";"Восточный административный округ";"район Ивановское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 308-01-27";"schzv1849.mskobr.ru";"mosschcoo1849l@mail.ru";"37,82382";"55,777902";"86914844";
49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" №661";"101000 г. Москва, ул. Покровка, д.10, стр.5";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"624-77-66";"schc661.mskobr.ru";"en661@list.ru";"37,644525";"55,758635";"86930431";
50;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа ""Школа здоровья"" № 149";"125080 г. Москва, ул. Врубеля., д. 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"158-03-31";"schs149.mskobr.ru";"shcola149@yandex.ru";"37,500521";"55,805758";"86930465";
51;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 682";"125493, г. Москва, ул.Авангардная, д.11А";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"452-51-19";"schzs682.mskobr.ru";"zz682@yandex.ru";"37,485889";"55,848042";"86930506";
52;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1029";"127540 г. Москва, ул. Дубнинская, д. 18 б";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"481-81-61";"schzs1029.mskobr.ru/";"gousosh1029@mail.ru";"37,567689";"55,870178";"86930528";
53;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1159";"125413, г. Москва, Солнечногорский проезд, д. 7";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"454-62-89";"schzs1159.mskobr.ru";"s1159@yandex.ru";"37,523113";"55,859224";"86930533";
54;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 349";"105523 г. Москва, ул. 15 Парковая, д. 52-а";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 468-82-05";"schzg349.mskobr.ru";"sch349@yandex.ru";"37,820941";"55,809096";"86930650";
55;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1693 имени 1-й дивизии народного ополчения Москвы";"117463, г. Москва, улица Паустовского, дом 6, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"423-33-00";"http://schzuz1693.mskobr.ru";"school1693@mail.ru";"37,536366";"55,598848";"86931074";
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 883";"125480, г. Москва, ул. Планерная, д.5, корп. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"495-55-45";"sch883.mskobr.ru";"sch883@rambler.ru";"37,43142";"55,860564";"86931106";
57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1136";"123181, г. Москва, ул. Кулакова, д. 3, к. 1";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"750-56-76";"schzsz1136.mskobr.ru";"sch1136@szouo.ru";"37,401723";"55,814437";"86931107";
58;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 384 имени Д.К.Корнеева";"121353 г.Москва, ул. Беловежская, д. 67 а";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 446-01-52; (495) 446-25-90";"schz384.mskzapad.ru";"sch384@narod.ru";"37,397383";"55,708484";"87013731";
59;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 473";"109429, г. Москва, Капотня, 2-й квартал, д.19 стр.1, стр.2";"Юго-Восточный административный округ";"район Капотня";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"355-01-96";"schuvz473.mskobr.ru";"school473@bk.ru";"37,79757";"55,639041";"87028726";
60;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1693 имени 1-й дивизии народного ополчения Москвы";"117463, г. Москва, улица Паустовского, дом 6, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"423-33-00";"http://schzuz1693.mskobr.ru";"school1693@mail.ru";"37,537085";"55,60072";"87028839";
61;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 521";"117449, г.Москва, улица Новочерёмушкинская, дом 3";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"126-04-48";"http://schzuz521.mskobr.ru/users/";"school521@bk.ru";"37,58868";"55,689505";"87029072";
62;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 521";"117449, г.Москва, улица Новочерёмушкинская, дом 3";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"126-04-48";"http://schzuz521.mskobr.ru/users/";"school521@bk.ru";"37,590683";"55,689554";"87029073";
63;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 939";"115563 г. Москва, Борисовский проезд, дом 40, клорпус 2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 393-14-90";"schu939.mskobr.ru";"sch939@sinergi.ru";"37,72611";"55,616283";"87029408";
64;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1321 ""Ковчег""";"111024, г.Москва Авиамоторная ул., д. 30а";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"673-11-44";"schuvz1321.mskobr.ru";"sch1321@yandex.ru";"37,719276";"55,744555";"87029420";
