ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniyz;telephone;web_site;e_mail;X;Y;global_id;
13;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1547";"109469, г. Москва, ул. Белореченская, д. 47, корп. 1";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"346-30-01";"licuv1547.mskobr.ru";"info@licey1547.ru";"37,7769";"55,662154";"86899720";
14;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1560";"123423, г. Москва, ул.  Тухачевского, д. 17, корп. 3";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 191-93-34";"lycsz1560.mskobr.ru";"Lic1560@szouo.ru";"37,483937";"55,780362";"86904019";
15;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1548";"119180 г.Москва, Бродников пер., д.3";"Центральный административный округ";"район Якиманка";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 238-02-07";"lycc1548.mskobr.ru";"1548lyc@couo.ru";"37,618077";"55,737";"86904116";
16;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1574";"125047 г. Москва, 1-я Миусская ул., д.4";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 972-32-28";"lycc1574.mskobr.ru";"s174@mail.ru";"37,596941";"55,779798";"86904117";
17;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1581";"105120 г.Москва, Б.Полуярославский пер., д.7/4, стр. 1-1А";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 916-18-86; (495) 916-38-73";"lycc1581.mskobr.ru";"L1581@yandex.ru";"37,66296";"55,752711";"86904118";
18;"Государственное бюджетное образовательное учреждение города Москвы лицей информационных технологий № 1537";"129347, г. Москва, ул. Проходчиков, д.9";"Северо-Восточный административный округ";"Ярославский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 182-19-44";"lyc1537sv.mskobr.ru";"lit1537@mail.ru";"37,719088";"55,874383";"86907935";
19;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1568";"127221, г. Москва, проезд Шокальского, дом 7, корпус 2";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"656-88-13";"lyc1568sv.mskobr.ru/";"fml1568@yandex.ru";"37,642875";"55,87454";"86907936";
20;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,231727";"55,998123";"86914841";
21;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1598";"107589, г.Москва, ул. Хабаровская, д. 18А";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 466-34-14; (495) 466-34-52";"lycv1598.mskobr.ru/";"info-1598@yandex.ru";"37,829541";"55,824675";"86914890";
22;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1303";"111033, г. Москва, Таможенный пр., д. 4";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 362-34-40";"lycg1303.mskobr.ru";"ses@1303.ru";"37,679171";"55,751868";"86914932";
23;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,555175";"55,702928";"86914934";
24;"Государственное бюджетное образовательное учреждение города Москвы лицей №1550";"125284 г. Москва, ул. Беговая, д. 19";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"945-86-00";"lycg1550.mskobr.ru";"infoliceum1550@gmail.com";"37,559781";"55,78245";"86914935";
25;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1533 (информационных технологий)";"119296, г. Москва, Ломоносовский проспект, дом 16";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 133-24-35";"";"info@lit.msu.ru";"37,540713";"55,692515";"86930405";
26;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1589";"105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 261-15-45; (495) 267-68-80; (495) 975-16-41; (495) 975-18-76";"";"licey@mail.ru";"37,694959";"55,779198";"86930430";
27;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1575";"125319 г. Москва, ул. Усиевича, д. 6";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 151-99-82";"lyc1575s.mskobr.ru";"liceum1575@mail.ru";"37,531974";"55,804971";"86930556";
28;"Государственное бюджетное образовательное учреждение города Москвы Лингвистический лицей № 1555";"119034 г. Москва, Хилков пер., д. 3А";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 766-93-12";"lycc1555.mskobr.ru";"Lyceum1555@rambler.ru";"37,598087";"55,737266";"86930619";
29;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1511 при ""Национальном исследовательском ядерном университете ""МИФИ""";"115522 г. Москва, Пролетарский пр-кт д.6,корп.3";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 324-29-21";"lycg1511.mskobr.ru";"Sch_1511@gor.educom.ru";"37,652208";"55,648279";"86930637";
30;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1524";"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"359-16-60";"dsuv2716.mskobr.ru";"lyceum1524@mail.ru";"37,702005";"55,657537";"86930647";
31;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1535";"119048 г. Москва, ул. Усачева,  д.50";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 245-57-42";"lycc1535.mskobr.ru/";"Sch_1535@gor.educom.ru";"37,561972";"55,731007";"86930648";
32;"Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500";"101000 г.Москва, Милютинский пер., д.18, стр.2";"Центральный административный округ";"Красносельский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 607-20-70";"lycc1500.mskobr.ru";"1500lyc@mail.ru";"37,632855";"55,769089";"86930654";
33;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1502 при МЭИ";"111555, г. Москва,  ул.  Молостовых,  д. 10А";"Восточный административный округ";"район Ивановское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 307-11-61; (495) 300-00-20";"lycg1502.mskobr.ru";"lyceum1502@inbox.ru";"37,830349";"55,760506";"86930736";
34;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1791";"142770, г. Москва, поселение Сосенское, пос. Коммунарка";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(498)617-81-46";"lyc1791tn.mskobr.ru";"";"37,481191";"55,566084";"86930995";
35;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 ""Полюс""";"117556, г. Москва, Варшавское ш., д. 67";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 389-15-27";"сou504.mskobr.ru";"sch504@sinergi.ru";"37,591917";"55,583119";"86931033";
36;"Государственное бюджетное образовательное учреждение города Москвы лицей №1451";"115191 г. Москва, ул. Мытная, дом 50 корпус 3";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 954-42-05";"cou1451.mskobr.ru";"sch1451@sinergi.ru";"37,613211";"55,710832";"86931037";
37;"Государственное бюджетное образовательное учреждение города Москвы лицей №1158";"117648, г. Москва, микрорайон Северное Чертаново корп. 809";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 312-04-60";"cou1158.mskobr.ru";"sch1158@sinergi.ru";"37,59306";"55,631135";"86931038";
38;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";"115446 г. Москва, Садовники д.12";"Южный административный округ";"район Нагатино-Садовники";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 618-26-60; (499) 618-25-94";"cou1472.mskobr.ru";"sch507@sinergi.ru";"37,653728";"55,668738";"86931039";
39;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1564";"125222, г. Москва, улица Рословка, дом 8";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 505-97-60";"";"info@lic1564.ru";"37,35319";"55,83343";"86931046";
40;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,44304";"55,861005";"86931062";
41;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1561";"117463, г.Москва, Новоясеневский проспект, д.38, корп.2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"425-94-88";"http://lycuz1561.mskobr.ru/";"licei1561@yandex.ru";"37,54374";"55,601957";"86931072";
42;"Муниципальное автономное общеобразовательное учреждение ""Лицей города Троицка""";"142190, Москва Город, Троицк Город, Школьная Улица, 10А";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 334-00-56";"";"";"37,36677";"55,516896";"86931139";
43;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1828 ""Сабурово""";"115211 Москва, Каширское ш. д.55-7";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"344-70-54";"cou1828.mskobr.ru";"sch1828@sinergi.ru";"37,699859";"55,638442";"86931179";
44;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,255401";"55,989999";"87013800";
45;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,235702";"55,999254";"87013801";
46;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,221629";"55,996451";"87028602";
47;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,230033";"55,998625";"87028603";
48;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,224053";"55,99409";"87028604";
49;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";"37,222124";"55,994292";"87028605";
50;"Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500";"101000 г.Москва, Милютинский пер., д.18, стр.2";"Центральный административный округ";"Красносельский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 607-20-70";"lycc1500.mskobr.ru";"1500lyc@mail.ru";"37,633649";"55,764733";"87028630";
51;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1828 ""Сабурово""";"115211 Москва, Каширское ш. д.55-7";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"344-70-54";"cou1828.mskobr.ru";"sch1828@sinergi.ru";"37,694124";"55,640579";"87028679";
52;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1828 ""Сабурово""";"115211 Москва, Каширское ш. д.55-7";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"344-70-54";"cou1828.mskobr.ru";"sch1828@sinergi.ru";"37,698714";"55,638926";"87028680";
53;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1828 ""Сабурово""";"115211 Москва, Каширское ш. д.55-7";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"344-70-54";"cou1828.mskobr.ru";"sch1828@sinergi.ru";"37,697065";"55,639911";"87028681";
54;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1524";"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"359-16-60";"dsuv2716.mskobr.ru";"lyceum1524@mail.ru";"37,757115";"55,673812";"87028777";
55;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1524";"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"359-16-60";"dsuv2716.mskobr.ru";"lyceum1524@mail.ru";"37,719448";"55,69";"87028778";
56;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1524";"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"359-16-60";"dsuv2716.mskobr.ru";"lyceum1524@mail.ru";"37,720004";"55,690865";"87028779";
57;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";"115446 г. Москва, Садовники д.12";"Южный административный округ";"район Нагатино-Садовники";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 618-26-60; (499) 618-25-94";"cou1472.mskobr.ru";"sch507@sinergi.ru";"37,651026";"55,668254";"87028835";
58;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";"115446 г. Москва, Садовники д.12";"Южный административный округ";"район Нагатино-Садовники";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 618-26-60; (499) 618-25-94";"cou1472.mskobr.ru";"sch507@sinergi.ru";"37,651617";"55,669172";"87028836";
59;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";"115446 г. Москва, Садовники д.12";"Южный административный округ";"район Нагатино-Садовники";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 618-26-60; (499) 618-25-94";"cou1472.mskobr.ru";"sch507@sinergi.ru";"37,654025";"55,665664";"87028837";
60;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";"115446 г. Москва, Садовники д.12";"Южный административный округ";"район Нагатино-Садовники";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 618-26-60; (499) 618-25-94";"cou1472.mskobr.ru";"sch507@sinergi.ru";"37,657402";"55,672613";"87028838";
61;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1564";"125222, г. Москва, улица Рословка, дом 8";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 505-97-60";"";"info@lic1564.ru";"37,354046";"55,83216";"87029007";
62;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1564";"125222, г. Москва, улица Рословка, дом 8";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 505-97-60";"";"info@lic1564.ru";"37,360511";"55,830274";"87029008";
63;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1564";"125222, г. Москва, улица Рословка, дом 8";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 505-97-60";"";"info@lic1564.ru";"37,359622";"55,829357";"87029009";
64;"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1580 при МГТУ имени Н.Э.Баумана";"117639 г. Москва, Балаклавский  проспект д. 6А";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 619-48-40";"lycu1580.mskobr.ru";"sch1580@sinergi.ru";"37,613038";"55,641641";"87029150";
65;"Государственное бюджетное образовательное учреждение города Москвы лицей №1451";"115191 г. Москва, ул. Мытная, дом 50 корпус 3";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 954-42-05";"cou1451.mskobr.ru";"sch1451@sinergi.ru";"37,616607";"55,718614";"87029302";
66;"Государственное бюджетное образовательное учреждение города Москвы лицей №1451";"115191 г. Москва, ул. Мытная, дом 50 корпус 3";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 954-42-05";"cou1451.mskobr.ru";"sch1451@sinergi.ru";"37,614466";"55,712832";"87029303";
67;"Государственное бюджетное образовательное учреждение города Москвы лицей №1451";"115191 г. Москва, ул. Мытная, дом 50 корпус 3";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 954-42-05";"cou1451.mskobr.ru";"sch1451@sinergi.ru";"37,614363";"55,713445";"87029304";
68;"Государственное бюджетное образовательное учреждение города Москвы лицей №1550";"125284 г. Москва, ул. Беговая, д. 19";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"945-86-00";"lycg1550.mskobr.ru";"infoliceum1550@gmail.com";"37,558892";"55,782268";"87029384";
69;"Государственное бюджетное образовательное учреждение города Москвы лицей ""Вторая школа""";"119333, город Москва, улица Фотиевой, дом 18";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"137-69-31";"http://lycuz2.mskobr.ru/";"moscowsch2@yandex.ru";"37,55557";"55,697972";"87029417";
70;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1535";"119048 г. Москва, ул. Усачева,  д.50";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 245-57-42";"lycc1535.mskobr.ru/";"Sch_1535@gor.educom.ru";"37,564869";"55,726086";"87029454";
71;"Государственное бюджетное образовательное учреждение города Москвы лицей №1158";"117648, г. Москва, микрорайон Северное Чертаново корп. 809";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 312-04-60";"cou1158.mskobr.ru";"sch1158@sinergi.ru";"37,59522";"55,63149";"87029561";
72;"Государственное бюджетное образовательное учреждение города Москвы лицей №1158";"117648, г. Москва, микрорайон Северное Чертаново корп. 809";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 312-04-60";"cou1158.mskobr.ru";"sch1158@sinergi.ru";"37,596325";"55,63506";"87029562";
73;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1533 (информационных технологий)";"119296, г. Москва, Ломоносовский проспект, дом 16";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 133-24-35";"";"info@lit.msu.ru";"37,543757";"55,692293";"87029692";
74;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1589";"105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 261-15-45; (495) 267-68-80; (495) 975-16-41; (495) 975-18-76";"";"licey@mail.ru";"37,696022";"55,778886";"87029693";
75;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1589";"105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 261-15-45; (495) 267-68-80; (495) 975-16-41; (495) 975-18-76";"";"licey@mail.ru";"37,695661";"55,779014";"87029694";
76;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1589";"105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 261-15-45; (495) 267-68-80; (495) 975-16-41; (495) 975-18-76";"";"licey@mail.ru";"37,65403";"55,768499";"87029695";
77;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 ""Полюс""";"117556, г. Москва, Варшавское ш., д. 67";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 389-15-27";"сou504.mskobr.ru";"sch504@sinergi.ru";"37,599081";"55,581178";"87029757";
