ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
14;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1749";"105215, г. Москва, улица 13-я Парковая, дом 29";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"468-22-46";"pgym1749.vao.mskobr.ru";"profgim1749@mail.ru";"37,810634";"55,806269";"86911281";
15;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752";"107014, г. Москва, ул. Большая  Остроумовская,  дом 7";"Восточный административный округ";"район Сокольники";"Государственное";"Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495) 603-07-16";"pgym1752.mskobr.ru";"progymnaz1752@mail.ru";"37,68523";"55,793127";"86911282";
16;"Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1753";"111538 город Москва ул. Молдагуловой 30Б";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"375-70-17";"sch1753.mskobr.ru";"prog.1753@rambler.ru";"37,827946";"55,71907";"86911283";
17;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1779";"129323, г. Москва, ул. Седова, д.12";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 180-43-90; (499) 180-01-96";"ds294.mskobr.ru";"edu1779@yandex.ru";"37,643393";"55,854546";"86921068";
18;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1819";"127572, г. Москва, ул. Абрамцевская, д. 24, корп. 2";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 200-73-44";"pgymsv1819.mskobr.ru";"Pro1819@mail.ru";"37,574642";"55,904738";"86921069";
19;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1661";"127486, г. Москва, Коровинское шоссе, дом 14 А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"905-41-64";"pgym1661.mskobr.ru";"gimn1661@rambler.ru";"37,530593";"55,874047";"86930460";
20;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1672";"125252,  г. Москва, улица Алабяна, дом 15";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 198-77-15";"pgym1672.mskobr.ru/";"gou1672sao@yandex.ru";"37,505131";"55,797599";"86930461";
21;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1774";"125130, г. Москва, 3-ий Новоподмосковный переулок, дом 7, строение 1";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"159-30-66";"pgym1774.mskobr.ru";"prog@1774.ru";"37,511264";"55,8197";"86930462";
22;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1826";"127540 г. Москва, улица Дубнинская, дом 14 ""Б""";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 219-32-22";"pgym1826.mskobr.ru";"ds1826@mail.ru";"37,567573";"55,866679";"86930463";
23;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1792 ""Остафьево""";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495)867-91-40";"";"";"37,721084";"55,781365";"86931022";
24;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1882";"109444, г. Москва ул. Ферганская, д. 16, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"376-42-11";"pgym1882.mskobr.ru";"progimnazia-1882@mail.ru";"37,811775";"55,705369";"87013773";
25;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644";"117461, г.Москва, ул. Херсонская, д. 5, корп. 1";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"122-84-70";"";"gou@1644.ru";"37,572303";"55,649965";"87013778";
26;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644";"117461, г.Москва, ул. Херсонская, д. 5, корп. 1";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"122-84-70";"";"gou@1644.ru";"37,572385";"55,649944";"87013779";
27;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1779";"129323, г. Москва, ул. Седова, д.12";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 180-43-90; (499) 180-01-96";"ds294.mskobr.ru";"edu1779@yandex.ru";"37,638663";"55,853008";"87028618";
28;"Негосударственное образовательное учреждение Прогимназия ""Белоснежка""";"";"Северо-Западный административный округ";"район Куркино";"Негосударственное";"Негосударственное";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495) 744-15-52";"";"pgbelosnezhka@mail.ru";"37,402707";"55,885964";"87029151";
