ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
13;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 ""Московский пансион государственных воспитанниц""";"109263 г. Москва, Волжский бульвар, дом 52/29";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"179-41-10";"schuvk9.mskobr.ru";"mpgvkk9@yandex.ru";"37,751289";"55,696011";"87028737";
14;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат ""Навигацкая школа""";"121108 г.Москва, ул. Кастанаевская, д. 59, корп.1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 144-07-63";"kdsch.mskzapad.ru";"navy-school@mail.ru";"37,45551";"55,730884";"87028867";
15;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,710614";"55,825258";"87028917";
16;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,709536";"55,825595";"87028918";
17;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,711081";"55,82557";"87028919";
18;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,710615";"55,824698";"87028920";
19;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,70831";"55,825103";"87028921";
20;"Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 11 ""Московский дипломатический кадетский корпус""";"121552, г.Москва, ул.Оршанская, д. 14, строения 1,2,3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"141-45-01";"mdkk11.mskzapad.ru";"schin38@gmail.com";"37,408856";"55,741374";"87029817";
21;"Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 11 ""Московский дипломатический кадетский корпус""";"121552, г.Москва, ул.Оршанская, д. 14, строения 1,2,3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"141-45-01";"mdkk11.mskzapad.ru";"schin38@gmail.com";"37,409338";"55,741685";"87029818";
22;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова";"109462, г. Москва, ул. Маршала Чуйкова, д. 28";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 175-32-83";"schuvi7.mskobr.ru";"info@moskadet.ru";"37,756982";"55,696767";"87029837";
23;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова";"109462, г. Москва, ул. Маршала Чуйкова, д. 28";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 175-32-83";"schuvi7.mskobr.ru";"info@moskadet.ru";"37,757504";"55,696964";"87029838";
24;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова";"109462, г. Москва, ул. Маршала Чуйкова, д. 28";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 175-32-83";"schuvi7.mskobr.ru";"info@moskadet.ru";"37,758889";"55,696691";"87029839";
25;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова";"109462, г. Москва, ул. Маршала Чуйкова, д. 28";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 175-32-83";"schuvi7.mskobr.ru";"info@moskadet.ru";"37,758106";"55,695327";"87029840";
