ROWNUM;name;adress;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1002";"119620 г.Москва, Солнцевский проспект, д. 12 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-28-44; (495) 435-01-25";"sch1002.mskzapad.ru";"school1002@mail.ru";"37,401933";"55,652362";"86660694";
12;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1003";"119618 г.Москва, ул 50 лет Октября, д. 13 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-95-16";"sch1003.mskzapad.ru";"shcool1003@mail.ru";"37,413764";"55,652634";"86660695";
13;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1114";"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 738-60-54";"sch1114.mskzapad.ru";"s1114@yandex.ru";"37,484319";"55,764564";"86660704";
14;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1118";"119590 г.Москва, ул. Довженко, д.10";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"147-25-54";"sch1118.mskzapad.ru/";"school1118@mail.ru";"37,511696";"55,720742";"86660705";
15;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1248";"121352 г.Москва, ул. Давыдковская, д. 2, корпус 6";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"445-25-50";"dskv1148.mskzapad.ru";"sch1248@mail.ru";"37,473692";"55,725532";"86660713";
16;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816";"121096 г. Москва, ул. Кастанаевская, д. 9А";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 144-37-82";"co1816.mskzapad.ru";"gou1816@rambler.ru";"37,491154";"55,735511";"86660727";
17;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1726";"121170, Москва ул.Дениса Давыдова д.5";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 249-08-10; (499) 243-67-88";"ds1555.mskzapad.ru";"dou1555@mail.ru";"37,545007";"55,745088";"86887438";
18;"Частное учреждение ""Православный центр образования Святителя Николая Чудотворца""";"117403 г. Москва, Булатниковский пр., д. 16, к. 3";"Южный административный округ";"район Бирюлёво Западное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 383-89-56";"noupcosnch.mskobr.ru";"revdimitri@inbox.ru";"37,657325";"55,578072";"86887462";
19;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1220";"129075, г. Москва, Аргуновская ул., д. 12, корп. 2, стр. 1, 2, 3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 683-09-08";"schu1220.svao.mskobr.ru";"Sch1220@yandex.ru";"37,621487";"55,81736";"86887472";
20;"Автономная некоммерческая организация средняя общеобразовательная школа ""ПРИОРИТЕТ""";"ул. Живописная, дом 46а";"Северо-Западный административный округ";"район Щукино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 193-85-61,(499) 193-85-22";"";"prioritet-school@mail.ru";"37,450998";"55,799553";"86887479";
21;"Автономная некоммерческое организация средняя образовательная школа ""Школа ""Феникс""";"";"Северо-Западный административный округ";"район Строгино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 758-10-75,(495) 750-50-36";"noufeniks.mskobr.ru";"fenix@szouo.ru";"37,398611";"55,797123";"86887482";
22;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Ювенес""";"Москва, ул.Сосновая, д. 3";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 193-91-47";"nouuvenes.mskobr.ru";"uenes@uenes.com";"37,482706";"55,806686";"86887483";
23;"Негосударственное образовательное учреждение Школа ""Союз""";"москва Героев панфиловцев дом 5 к 37";"Северо-Западный административный округ";"район Южное Тушино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 714-59-73";"";"sss1995@mail.ru";"37,409622";"55,848833";"86887484";
24;"Некоммерческое образовательное учреждение средняя общеобразовательная школа ""Наши Пенаты""";"";"Юго-Западный административный округ";"район Коньково";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 335-00-62,(495) 336-32-11";"";"nashipenaty@mail.ru";"37,528348";"55,64909";"86887486";
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426";"115563 г. Москва, Борисовский пр-д, д.10, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 394-02-22";"schu426.mskobr.ru";"sch426@sinergi.ru";"37,719905";"55,624709";"86887493";
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 438";"115563 г. Москва, Борисовский пр-д д. 40,к.3";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"394-03-55";"schu438.mskobr.ru";"sch438@sinergi.ru";"37,72423";"55,616436";"86887494";
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 534";"115573 г. Москва, Ореховый пр-д д.17,к.2";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"395-42-66";"schu534.mskobr.ru";"sch534@sinergi.ru";"37,734118";"55,623844";"86887501";
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 547";"115191 г. Москва, Малая Тульская ул., д.15";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 235-11-91; (499) 235-96-61";"schu547.mskobr.ru";"sch547@sinergi.ru";"37,640041";"55,709307";"86887504";
29;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";"37,702347";"55,623761";"86887505";
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 566";"117152 г. Москва, Загородное шоссе, дом 8А";"Южный административный округ";"Донской район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 952-93-59";"schu566.mskobr.ru";"sch566@sinergi.ru";"37,603633";"55,693296";"86887509";
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 629";"117405 Москва, Варшавское ш. д.156 Б";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 386-12-59";"cou1178.mskobr.ru";"sch1178@sinergi.ru";"37,594786";"55,587712";"86887512";
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 870";"115516 г. Москва, ул. Веселая, дом № 12";"Южный административный округ";"район Царицыно";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 322-08-76";"schu501.mskobr.ru";"sch870@sinergi.ru";"37,662795";"55,621488";"86887523";
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 900";"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 382-83-88; (495) 382-99-02";"schu900.mskobr.ru";"sch900@sinergi.ru";"37,611254";"55,600497";"86887529";
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 904";"115477 г. Москва, Кавказский б-р, д.16,к.2";"Южный административный округ";"район Царицыно";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"325-41-11";"schu904.mskobr.ru";"sch904@sinergi.ru";"37,665554";"55,633506";"86887531";
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 924";"117405 г. Москва, ул. Газопровод, дом 5а";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"389-23-00";"dsu2645.mskobr.ru";"sch924@sinergi.ru";"37,605075";"55,591448";"86887534";
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 932";"117534 Москва, Чертановская ул. д.62 А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 386-07-36; (495) 387-05-77; (495) 386-09-09; (495) 386-75-09";"schu932.mskobr.ru";"sch932@sinergi.ru";"37,585595";"55,59932";"86887535";
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 933";"117546, г. Москва, ул. Медынская, д. 9А";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-43-92; (495) 384-18-00";"schu933.mskobr.ru";"sch933@sinergi.ru";"37,652447";"55,582735";"86887536";
38;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 948";"115598 г. Москва, ул. Лебедянская, дом 26 корп.4";"Южный административный округ";"район Бирюлёво Восточное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"329-17-11";"schu948.mskobr.ru";"sch948@sinergi.ru";"37,688665";"55,583209";"86887542";
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 949";"115597 г. Москва, ул. Воронежская, дом 46 корп.3";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 397-23-37; (495) 397-96-66";"cou987.mskobr.ru";"sch949@sinergi.ru";"37,748202";"55,606592";"86887543";
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1034";"115612 г. Москва, ул. Братеевская, д.8, корп. 2";"Южный административный округ";"район Братеево";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 342-88-65; (495) 341-44-73";"schu1034.mskobr.ru";"sch1034@sinergi.ru";"37,756988";"55,632676";"86887551";
41;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1173";"117519 г. Москва,ул. Чертановская, дом 27";"Южный административный округ";"район Чертаново Центральное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 313-06-46";"schu1173.mskobr.ru";"sch1173@sinergi.ru";"37,595045";"55,613906";"86887553";
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1207";"115582 г. Москва, ул. Домодедовская, д. 24, корп. 7";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"391-59-10";"schu575.mskobr.ru";"sch1207@sinergi.ru";"37,713202";"55,601045";"86887555";
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1242";"117546, г. Москва, Востряковский проезд, д.3А";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 383-97-81";"schuu1242.mskobr.ru";"sch1242@sinergi.ru";"37,643253";"55,58349";"86887556";
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1750";"115407 г. Москва, Нагатинская наб.д.56";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 616-05-00";"schu1750.mskobr.ru";"sch1750@sinergi.ru";"37,688763";"55,689763";"86887561";
45;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1998 ""Лукоморье""";"115612 г. Москва, Борисовские пруды д.12, к.3";"Южный административный округ";"район Братеево";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования ""Школа Здоровья""";"341-78-55";"cou1998.mskobr.ru";"sch1998@sinergi.ru";"37,742541";"55,634533";"86887563";
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2001";"117546 г.Москва, Харьковский проезд, д.9б";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-73-42";"schu2001.mskobr.ru";"sch2001@sinergi.ru";"37,63987";"55,590263";"86887564";
47;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1862";"117452 г. Москва, ул. Черноморский бульвар д.6";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 610-77-66";"cou1862.mskobr.ru";"sch1862@sinergi.ru";"37,614265";"55,646502";"86887580";
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1174";"117216, г. Москва, улица Феодосийская, дом 11А";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"712-40-36";"http://schuz1174.mskobr.ru/";"info@school1174.ru";"37,576006";"55,564448";"86887585";
49;"Негосударственное образовательное учреждение ""Британская международная школа """;"";"Юго-Западный административный округ";"район Черёмушки";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 421-21-49,(495) 421-82-11";"";"school5@bismoscow.com";"37,574929";"55,672969";"86887599";
50;"Негосударственное общеобразовательное учреждение «Школа Натальи Нестеровой»";"";"Северный административный округ";"район Сокол";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 157-70-38,(495) 769-31-38";"nouschnn.mskobr.ru";"nesterovaschool@list.ru";"37,517902";"55,800496";"86887601";
51;"Негосударственное общеобразовательное учреждение школа “Лотос”";"";"Северо-Восточный административный округ";"район Бибирево";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 909-57-74,(499) 909-95-36";"";"slotos@mail.ru";"37,590074";"55,892902";"86887609";
52;"Автономная некоммерческая организация Центр образования ""Знак""";"127576 Москва ул. Абрамцевская д.6а";"Северо-Восточный административный округ";"район Лианозово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(499) 200-05-08";"nouznak.mskobr.ru";"lic@bk.ru";"37,575491";"55,893846";"86887613";
53;"Негосударственное общеобразовательное учреждение детский воспитательно-образовательный комплекс “Пенаты”";"129515 Улица Кондратюка, дом 9  корпус 2";"Северо-Восточный административный округ";"район Отрадное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 201-18-11";"";"dvokpenaty@mail.ru";"37,587875";"55,854232";"86887614";
54;"Некоммерческое образовательное учреждение частная гуманитарно-экономическая школа “Самсон”";"115487, Москва, ул. Академика Миллионщикова, д.7, корп.2";"Южный административный округ";"район Нагатинский Затон";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 730-50-90,(499) 618-66-96";"";"info@samson-corp.ru";"37,676815";"55,683884";"86887616";
55;"Автономная некоммерческая организация Средняя общеобразовательная частная школа “Наследник”";"115211, г. Москва, ул. Борисовские пруды, д. 19 корп. 1";"Южный административный округ";"район Москворечье-Сабурово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 340-43-80,(495) 341-80-69";"";"school@naslednik.ru";"37,722073";"55,636";"86887617";
56;"Негосударственное образовательное учреждение Гимназия ""Эллада""";"115409, Москва, ул. Кошкина, д. 6";"Южный административный округ";"район Москворечье-Сабурово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Гимназия";"(499) 324-83-28,(499) 324-83-29";"nouellada.mskobr.ru";"info@ellada.ru";"37,671671";"55,643193";"86887622";
57;"Автономная некоммерческая организация ""Средняя общеобразовательная школа ""Премьер""""";"115563, Москва, ул. Шипиловская, дом 40, корпу 2";"Южный административный округ";"район Орехово-Борисово Северное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 393-08-18,(495) 393-07-11";"noupremier.mskobr.ru";"school@premier.edu.ru";"37,72559";"55,619832";"86887625";
58;"Негосударственное образовательное учреждение средняя общеобразовательная школа “ВЫБОР”";"117556, г. Москва, Симферопольский бульвар, д.9";"Южный административный округ";"Нагорный район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 619-59-81";"nouvybor.mskobr.ru";"schoolybor@mail.ru";"37,610045";"55,658058";"86887626";
59;"Негосударственное образовательное учреждение русская гуманитарная школа";"ул. Новинки, д.11, к.2";"Южный административный округ";"";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"";"";"nourgsh@mail.ru";"37,651617";"55,669172";"86887627";
60;"Частное учреждение Центр образования ""Личность""";"";"Юго-Восточный административный округ";"Рязанский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 371-55-92,(495) 371-59-00,(495) 643-89-60";"noulichnost.mskobr.ru";"info@school-lichnost.ru";"37,789439";"55,719402";"86887628";
61;"Негосударственное общеобразовательное учреждение Центр образования ""Татьянинская школа""";"";"Юго-Восточный административный округ";"Нижегородский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 170-40-06,171-43-71";"noutatiansch.mskobr.ru";"eshl@inbox.ru";"37,748212";"55,73394";"86887631";
62;"Негосударственное образовательное учреждение Школа «XXI век»";"109052, г. Москва, Старообрядческая, д.17";"Юго-Восточный административный округ";"район Лефортово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 918-19-11,918-17-74";"";"9181911@mail.ru";"37,701425";"55,745891";"86887632";
63;"Негосударственное образовательное учреждение Школа «Ника»";"117303  г.Москва ул.Одесская 21/29";"Юго-Западный административный округ";"район Зюзино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"332-18-47,332-68-70";"nounika.mskobr.ru";"nou@nika-school.ru";"37,593585";"55,657964";"86887644";
64;"Частное учреждение Центр образования «Европейская гимназия»";"107014, г. Москва, ул.3-я Сокольническая, дом 3";"Восточный административный округ";"район Сокольники";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Гимназия";"269-07-10,268-44-04";"";"info@eurogym.ru";"37,68392";"55,786494";"86887646";
65;"Автономная некоммерческая организация Средняя Общеобразовательная Школа «Колибри»";"";"Восточный административный округ";"район Восточное Измайлово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"164-37-60";"noukolibri.mskobr.ru";"kolibry_@list.ru";"37,775078";"55,8065";"86887647";
66;"Автономная некоммерческая организация образовательный центр ""ЭОС""";"";"Восточный административный округ";"район Ивановское";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"305-77-22,304-73-86";"noueos.mskobr.ru";"eos-center@yandex.ru";"37,806119";"55,75925";"86887648";
67;"Частное учреждение Центр образования ""Школа Ретро""";"107370 Москва 4-я Гражданская ул., д.43, к.8";"Восточный административный округ";"район Богородское";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(499) 160-86-25,(495) 646-95-94";"";"retro@retro-school.com";"37,722008";"55,807493";"86887649";
