"","OBJECTID","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","ID","ORIG_FID","POINT_X","POINT_Y","r500","r800","r1000"
"11",11,"Государственное бюджетное  образовательное учреждение города Москвы средняя общеобразовательная школа № 2033","105425,Москва,Щелковское шоссе, дом 26А","Восточный административный округ","район Северное Измайлово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495)652-02-31,(495) 652-02-31","schv2033.mskobr.ru","school-2033@yandex.ru",24,24,37.779592,55.808077,195.672025435458,249.759444373471,321.208433480146
"12",12,"Государственное бюджетное образовательнoе учреждение города Москвы центр образования № 1495","111674 г.Москва ул.Святоозерская д.17","Восточный административный округ","район Косино-Ухтомский","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Центр образования","(499) 721-52-04; (499) 721-52-05","cov1495.mskobr.ru","school2015@mail.ru",25,25,37.895525,55.71333,153.348702307873,224.667864453453,254.500298981297
"13",13,"Государственное бюджетное образовательное  учреждение города Москвы гимназия  №1290","105043, г. Москва, ул. Первомайская, д.59, строение 1","Восточный административный округ","район Измайлово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","165-52-42","gymv1290.mskobr.ru","gym1290@yandex.ru",26,26,37.793137,55.793755,240.171479831245,296.502558457466,323.347022990779
"14",14,"Государственное бюджетное образовательное учреждение  города Москвы средняя общеобразовательная школа № 315","107140 г. Москва, Русаковская ул., д.10, строение 1 и 3","Центральный административный округ","Красносельский район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 264-64-45","schc315.mskobr.ru","Natali_C2000@mail.ru",27,27,37.674636,55.782674,385.27768417868,503.328047058347,553.948135186537
"15",15,"Государственное бюджетное образовательное учреждение  города Москвы средняя общеобразовательная школа № 315","107140 г. Москва, Русаковская ул., д.10, строение 1 и 3","Центральный административный округ","Красносельский район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 264-64-45","schc315.mskobr.ru","Natali_C2000@mail.ru",27,27,37.674832,55.783126,336.385397924765,489.419800246575,535.831263713298
"16",16,"Государственное бюджетное образовательное учреждение города  Москвы средняя общеобразовательная школа № 369","107014, г. Москва, ул. Гастелло, дом 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 268-37-22","schv369.mskobr.ru","gou_sosh_369@mail.ru",28,28,37.695666,55.783343,591.557353847759,705.565703410166,723.04117964023
"17",17,"Государственное бюджетное образовательное учреждение города  Москвы средняя общеобразовательная школа № 369","107014, г. Москва, ул. Гастелло, дом 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 268-37-22","schv369.mskobr.ru","gou_sosh_369@mail.ru",28,28,37.767692,55.803259,254.224144078651,326.234937011934,385.169998994803
"18",18,"Государственное бюджетное образовательное учреждение города  Москвы средняя общеобразовательная школа № 369","107014, г. Москва, ул. Гастелло, дом 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 268-37-22","schv369.mskobr.ru","gou_sosh_369@mail.ru",28,28,37.786341,55.805667,305.318040437964,353.157329109521,395.46551181334
"19",19,"Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893","109388, г. Москва, ул. Гурьянова, д. 59","Юго-Восточный административный округ","район Печатники","Государственное","Юго-Восточное окружное управление образования","Образовательное учреждение для детей дошкольного и младшего школьного возраста","Прогимназия","354-90-06","http://pgymuv1893.mskobr.ru/","progimnaz1893@mail.ru",29,29,37.720103,55.67985,129.091760754787,213.580720227479,221.112269703709
"20",20,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа ""Школа здоровья"" № 149","125080 г. Москва, ул. Врубеля., д. 6","Северный административный округ","район Сокол","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа ""Школа Здоровья""","158-03-31","schs149.mskobr.ru","shcola149@yandex.ru",30,30,37.500521,55.805758,273.197321694926,346.668445434388,359.519513654614
"21",21,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1003","119618 г.Москва, ул 50 лет Октября, д. 13 А","Западный административный округ","район Солнцево","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","435-95-16","sch1003.mskzapad.ru","shcool1003@mail.ru",31,31,37.413764,55.652634,193.613228233424,246.480595435277,254.14113571616
"22",22,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1018","119634 г.Москва, ул. Шолохова, д.20","Западный административный округ","район Ново-Переделкино","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 733-52-10; (495) 733-52-11; (495) 732-61-33","sch1018.mskzapad.ru","sch1018@mail.ru",32,32,37.350975,55.641241,221.234146659916,248.319555393298,252.728124758695
"23",23,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1127","121609 г.Москва, ул. Крылатские холмы, д. 13","Западный административный округ","район Крылатское","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","413-77-55","sch1127.mskzapad.ru","sch1127@mail.ru",33,33,37.419263,55.750454,207.583121362137,293.045700999247,342.599134522965
"24",24,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 55","119501 г.Москва, ул Веерная, д. 38, к.2","Западный административный округ","район Очаково-Матвеевское","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 441-74-11; (495) 442-90-58; (495) 441-71-22","sch55.mskzapad.ru","school55@bk.ru",34,34,37.482391,55.714579,227.883972444885,316.72190975055,379.441865205552
"25",25,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 800","121596 г.Москва, ул. Толбухина, д. 7, к.3","Западный административный округ","Можайский район","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 446-50-00","sch800.mskzapad.ru","leca21@yandex.ru",35,35,37.397847,55.719405,247.965471009807,286.812334804004,331.963778193952
"26",26,"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 814","119501 г.Москва, ул. Веерная, д. 5, корпус 3","Западный административный округ","район Очаково-Матвеевское","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 442-04-84","sch814.mskzapad.ru","sch0814@mail.ru",36,36,37.474719,55.706744,221.743838347558,283.020273072657,300.971933886743
"27",27,"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1434","119607 г.Москва, ул Раменки д.15 к1","Западный административный округ","район Раменки","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Центр образования","(495) 932-00-00; (495) 932-08-01","co1434.mskzapad.ru","coe1434@mail.ru",37,37,37.500362,55.69076,312.505332361676,400.145806165552,449.472036855326
"28",28,"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989","109451, г. Москва, ул. Белореченская, д. 45, к. 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Центр образования","(495) 654-96-27; (495) 654-96-25","couv1989.mskobr.ru","co1989@yandex.ru",38,38,37.776494,55.663762,204.958320595828,233.630751199191,284.756293846191
"29",29,"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989","109451, г. Москва, ул. Белореченская, д. 45, к. 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Центр образования","(495) 654-96-27; (495) 654-96-25","couv1989.mskobr.ru","co1989@yandex.ru",38,38,37.777637,55.662869,181.223590242556,218.418371148185,270.304569271895
"30",30,"Государственное бюджетное образовательное учреждение города Москвы ""Московский центр технологической модернизации образования""","107076 г. Москва, 1-й Зборовский переулок, д. 3","Восточный административный округ","район Соколиная Гора","Государственное","Городское подчинение ДОгМ (для гор центров)","Образовательное учреждение дополнительного профессионального образования","Центр образования","369-05-95","rezerv.dop.mskobr.ru","mduc_rezerv@bk.ru",39,39,37.705414,55.799899,401.513652056673,592.627755914032,664.245743175378
"31",31,"Государственное бюджетное образовательное учреждение города Москвы ""Московский центр технологической модернизации образования""","107076 г. Москва, 1-й Зборовский переулок, д. 3","Восточный административный округ","район Соколиная Гора","Государственное","Городское подчинение ДОгМ (для гор центров)","Образовательное учреждение дополнительного профессионального образования","Центр образования","369-05-95","rezerv.dop.mskobr.ru","mduc_rezerv@bk.ru",39,39,37.712697,55.750209,260.400258871651,314.223743088225,364.107857988861
"32",32,"Государственное бюджетное образовательное учреждение города Москвы ""Московский центр технологической модернизации образования""","107076 г. Москва, 1-й Зборовский переулок, д. 3","Восточный административный округ","район Соколиная Гора","Государственное","Городское подчинение ДОгМ (для гор центров)","Образовательное учреждение дополнительного профессионального образования","Центр образования","369-05-95","rezerv.dop.mskobr.ru","mduc_rezerv@bk.ru",39,39,37.721087,55.781278,332.695880346995,435.170184142116,471.17521082221
"33",33,"Государственное бюджетное образовательное учреждение города Москвы ""Московское среднее специальное училище олимпийского резерва №4 им. А.Я. Гомельского (техникум)"" Департамента физической культуры и спорта города Москвы","","Северо-Восточный административный округ","район Бибирево","Государственное","Департамент физической культуры и спорта","Образовательное учреждение среднего профессионального образования","Средняя общеобразовательная школа","(495) 707-05-51","","uorgomelski@mail.ru",40,40,37.56112,55.757587,260.139745283905,343.826982315452,408.747385242669
"34",34,"Государственное бюджетное образовательное учреждение города Москвы cредняя общеобразовательная школа № 402","111538, г. Москва, ул. Косинская, д. 10А","Восточный административный округ","район Вешняки","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","375-59-11","schv402.mskobr.ru","s402veshn@yandex.ru",41,41,37.834804,55.72441,305.151981486159,376.364877193915,382.293622656586
"35",35,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112","109316, г.Москва, Волгоградский проспект, д.27","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","676-03-11","schuvv112.mskobr.ru","vssh112@mail.ru",42,42,37.662656,55.728937,318.498353693047,369.330348309232,410.830498924748
"36",36,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112","109316, г.Москва, Волгоградский проспект, д.27","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","676-03-11","schuvv112.mskobr.ru","vssh112@mail.ru",42,42,37.693118,55.724154,1227.8448236985,1285.09589589944,1316.91464010221
"37",37,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 115","117485, г. Москва, улица Бутлерова, дом 5Б, строение 1","Юго-Западный административный округ","район Коньково","Государственное","Юго-Западное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","334-99-10","","dir115@bk.ru",43,43,37.527095,55.6533,283.132651063854,383.522984758323,428.684353347998
"38",38,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148","107564, г. Москва, ул. 2-я Гражданская, дом 8.","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","(499) 169-42-70","schsv148.mskobr.ru","bcow148@mail.ru",44,44,37.701057,55.813659,230.100536230389,286.957342157469,365.164650903497
"39",39,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148","107564, г. Москва, ул. 2-я Гражданская, дом 8.","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","(499) 169-42-70","schsv148.mskobr.ru","bcow148@mail.ru",44,44,37.819533,55.721148,212.536699585635,297.157324317251,343.592164716775
"40",40,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 166","117152 г. Москва,Севастопольский проспект ,д. 5А","Южный административный округ","Нагорный район","Государственное","Южное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","(499) 123-15-96; (499) 127-66-53","schvu166.mskobr.ru","sch166@sinergi.ru",45,45,37.611503,55.691341,251.987805911424,392.074603501617,452.843901072136
"41",41,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 182","117449, г.Москва, ул. Гримау, дом 11а","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","126-06-73","","sch182@mosuzedu.ru",46,46,37.578583,55.688189,318.859446936747,398.1167627675,452.391767502666
"42",42,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 185","""111033, г.Москва, Танковый пр-д, д.6","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","(495) 362-32-21","schuvv185.mskobr.ru","school185@mail.ru",47,47,37.689739,55.755939,419.112024756386,526.416095666496,555.649552338242
"43",43,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 90","125130, г. Москва, 4-й Новоподмосковный пер., д. 2а","Северный административный округ","Войковский район","Государственное","Северное окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","450-95-10","schsv90.mskobr.ru","vschool_90@mail.ru",48,48,37.504158,55.822096,350.633341407625,442.777068089486,472.351676796808
"44",44,"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа №2081","105318, Москва Город, Семеновская Площадь, 4","","","Государственное","Троицкое и новомосковское окружное управление образования","Вечернее (сменное) общеобразовательное учреждение","Вечерняя (сменная) общеобразовательная школа","(495) 867-83-61","sch2081tn.mskobr.ru","",49,49,37.721088,55.78135,339.975520905375,436.391048970212,468.066495988432
"45",45,"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257","115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1","Южный административный округ","Даниловский район","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Гимназия","952-63-70","gymu1257.mskobr.ru","dou1234@sinergi.ru",50,50,37.62569,55.714479,488.255722839067,560.244014287219,630.207012268313
"46",46,"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257","115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1","Южный административный округ","Даниловский район","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Гимназия","952-63-70","gymu1257.mskobr.ru","dou1234@sinergi.ru",50,50,37.626721,55.714332,502.889344221775,594.780945015901,662.738806120752
"47",47,"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257","115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1","Южный административный округ","Даниловский район","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Гимназия","952-63-70","gymu1257.mskobr.ru","dou1234@sinergi.ru",50,50,37.629083,55.717536,451.148174798458,544.580465868958,611.42376273265
"48",48,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1274 имени В.В.Маяковского","115088, г. Москва, ул. 1-я Дубровская, д. 16","Юго-Восточный административный округ","Южнопортовый район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(495) 674-20-47; (495) 674-20-40","gymg1274.mskobr.ru","1274@gymnasium1274.msk.ru",51,51,37.67135,55.723389,365.878963918831,431.498015435577,479.414206773308
"49",49,"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306","119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3","Западный административный округ","район Раменки","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Гимназия","932-89-42","gymg1306.mskobr.ru","administration@sch1306.ru",52,52,37.508133,55.699035,196.907291186623,259.721983400394,288.166076287796
"50",50,"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306","119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3","Западный административный округ","район Раменки","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Гимназия","932-89-42","gymg1306.mskobr.ru","administration@sch1306.ru",52,52,37.509049,55.698245,230.498838199286,264.501467288643,328.109330070283
"51",51,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.68471,55.797678,453.488020299876,632.951033903324,697.529059560787
"52",52,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685012,55.797859,469.871505243259,637.586904582136,706.283660463913
"53",53,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685243,55.798052,470.936708429485,647.873687037552,711.913329727721
"54",54,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685506,55.798197,473.572386901796,636.381064903304,735.604387056153
"55",55,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685586,55.797879,442.658236361756,622.278377436363,708.489402880619
"56",56,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685802,55.798502,481.268551455629,647.746228848539,731.14944576714
"57",57,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685853,55.798076,451.516426572684,611.706959763495,710.963111531938
"58",58,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.685886,55.798762,494.504830095272,658.44360106205,741.132450645767
"59",59,"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""","107014, Москва,  ул. Большая Оленья,  д. 3","Восточный административный округ","район Сокольники","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 269-02-19; (499) 268-46-80; (499) 269-02-96","cov1404.mskobr.ru","gamma1404@list.ru",53,53,37.686097,55.799,507.813709710575,649.812056582659,730.365165667911
