"OBJECTID";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT"
33;672;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1925";1925;"http://cov1925.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";1
34;647;"Государственное бюджетное образовательное учреждение города Москвы гимназия №2072";2072;"http://cov2072.mskobr.ru";"гимназия";"Восточный административный округ";"слияние";2
35;885;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №46";46;"http://coz46uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"слияние";1
36;311;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №237 имени В.Ф. Орлова";237;"http://csh237.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";6
37;250;"Государственное бюджетное образовательное учреждение города Москвы гимназия «Государственная столичная гимназия»";0;"http://gsg.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";5
38;278;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1518";1518;"http://gum1518.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";2
39;238;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1573";1573;"http://gum1573.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";3
40;650;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1048 «Новокосино» ";1048;"http://gym1048v.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";1
41;348;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1257";1257;"http://gym1257u.mskobr.ru/";"гимназия";"Южный административный округ";"";2
42;496;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1274 имени В.В.Маяковского";1274;"http://gym1274uv.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"присоединение";5
43;833;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1290";1290;"http://gym1290.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";4
44;117;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1358";1358;"http://gym1358sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"слияние";4
45;610;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1404 «Гамма»";1404;"http://gym1404.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";2
46;168;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1409 ";1409;"http://gym1409s-new.mskobr.ru/";"гимназия";"Северный административный округ";"слияние";1
47;663;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1476";1476;"http://gym1476.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";2
48;826;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1503";1503;"http://gym1503.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";4
49;691;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1504";1504;"http://gym1504.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";3
50;674;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая гимназия-лаборатория»";1505;"http://gym1505v.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";4
51;822;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1506";1506;"http://gym1506.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";3
52;571;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1507";1507;"http://gym1507uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";3
53;679;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1508 «Измайловская»";1508;"http://gym1508.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";3
54;565;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1514";1514;"http://gym1514uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";2
55;130;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515";1515;"http://gym1515sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";2
56;895;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1516";1516;"http://gym1516.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";1
57;55;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517";1517;"http://gym1517sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";6
58;124;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1519";1519;"http://gym1519.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";4
59;893;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1522";1522;"http://gym1522.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";1
60;850;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1527";1527;"http://gym1527u.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";2
61;783;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528";1528;"http://gym1528zg.mskobr.ru/";"гимназия";"Зеленоградский административный округ";"присоединение";5
62;25;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова";1529;"http://gym1529c.mskobr.ru/";"гимназия";"Центральный административный округ";"присоединение";2
63;829;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1530 «Школа Ломоносова»";1530;"http://gym1530.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";4
64;226;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»";1531;"http://gym1531sv.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";2
65;523;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1532";1532;"http://gym1532uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";5
66;588;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1534";1534;"http://gym1534uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";3
67;561;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536";1536;"http://gym1536uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";3
68;62;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";1538;"http://gym1538sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";4
69;294;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1539";1539;"http://gym1539sv.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";3
70;718;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1541";1541;"http://gym1541.mskobr.ru/";"гимназия";"Западный административный округ";"присоединение";1
71;779;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542";1542;"http://gym1542.mskobr.ru/";"гимназия";"Западный административный округ";"присоединение";4
72;962;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1543 на Юго-Западе";1543;"http://gym1543.mskobr.ru/";"гимназия";"Западный административный округ";"присоединение";1
73;107;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544";1544;"http://gym1544sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";2
74;79;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551";1551;"http://gym1551sz.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"присоединение";4
75;291;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554";1554;"http://gym1554.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";4
76;259;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";1558;"http://gym1558sv.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";3
77;433;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артёма Боровика ";1562;"http://gym1562uv.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"присоединение";3
78;669;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1563 ";1563;"http://gym1563v.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";2
79;293;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»";1565;"http://gym1565sv.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";6
80;859;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1567";1567;"http://gym1567.mskobr.ru/";"гимназия";"Западный административный округ";"присоединение";2
81;852;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1569 «Созвездие»";1569;"http://gym1569u.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";6
82;175;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570";1570;"http://gym1570s.mskobr.ru/";"гимназия";"Северный административный округ";"присоединение";2
83;177;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576";1576;"http://gym1576s.mskobr.ru/";"гимназия";"Северный административный округ";"присоединение";6
84;240;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1577";1577;"http://gym1577sv.mskobr.ru/";"гимназия";"Северо-Восточный административный округ";"присоединение";2
85;383;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1579";1579;"http://gym1579u.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";2
86;384;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1582";1582;"http://gym1582u.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";2
87;169;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583";1583;"http://gym1583s-new.mskobr.ru/";"гимназия";"Северный административный округ";"присоединение";3
88;182;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 имени Героя Советского Союза В.В. Колесника ";1590;"http://gym1590s.mskobr.ru/";"гимназия";"Северный административный округ";"слияние";2
89;818;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1591";1591;"http://gym1591.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";3
90;420;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1595";1595;"http://gym1595.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"присоединение";1
91;759;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1596";1596;"http://gym1596.mskobr.ru/";"гимназия";"Западный административный округ";"присоединение";2
92;442;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1597";1597;"http://gym1597uv.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"присоединение";2
93;415;"Государственное бюджетное образовательное учреждение города Москвы «Лицейско-гимназический комплекс на Юго-Востоке»";0;"http://gym1599uv.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"присоединение";4
94;361;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1636 «НИКА»";1636;"http://gym1636u.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";4
95;836;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1637";1637;"http://gym1637.mskobr.ru/";"гимназия";"Восточный административный округ";"";2
96;689;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»";1748;"http://gym1748v.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";4
97;555;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1786";1786;"http://gym1786uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";1
98;637;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1797 «Богородская»";1797;"http://gym1797.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";4
99;830;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1799 «Экополис»";1799;"http://gym1799.mskobr.ru/";"гимназия";"Восточный административный округ";"присоединение";3
100;202;"Государственное бюджетное образовательное учреждение города Москвы гимназия №201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";201;"http://gym201s.mskobr.ru/";"гимназия";"Северный административный округ";"присоединение";1
101;430;"Государственное бюджетное образовательное учреждение города Москвы гимназия №491 «Марьино»";491;"http://gym491uv.mskobr.ru/";"гимназия";"Юго-Восточный административный округ";"слияние";2
102;534;"Государственное бюджетное образовательное учреждение города Москвы гимназия №625";625;"http://gym625uz.mskobr.ru/";"гимназия";"Юго-Западный административный округ";"присоединение";3
103;880;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1520 имени Капцовых";1520;"http://gymc1520.mskobr.ru/";"гимназия";"Центральный административный округ";"присоединение";2
104;37;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540";1540;"http://gymc1540.mskobr.ru/";"гимназия";"Центральный административный округ";"присоединение ";2
105;835;"Государственное бюджетное образовательное учреждение города Москвы гимназия «Московская международная гимназия»";0;"http://gymmg.mskobr.ru/";"гимназия";"Восточный административный округ";"";2
106;685;"Государственное бюджетное образовательное учреждение города Москвы гимназия №2200";2200;"http://gymnasium2200.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";4
107;894;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1526";1526;"http://gymu1526.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";1
108;854;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1552";1552;"http://gymu1552.mskobr.ru/";"гимназия";"Южный административный округ";"слияние";4
109;863;"Государственное бюджетное образовательное учреждение города Москвы школа-интернат «Интеллектуал»";0;"http://int.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
110;209;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича»";0;"http://itschool.mskobr.ru/";"школа";"Северный административный округ";"слияние";4
111;132;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Курчатовская школа»";0;"http://kurchat.mskobr.ru/";"школа";"Северо-Западный административный округ";"слияние";4
112;42;"Государственное бюджетное образовательное учреждение города Москвы лицей №1799 «Многопрофильный лицей»";1799;"http://lic1799.mskobr.ru/";"лицей";"Центральный административный округ";"слияние";6
113;902;"Государственное бюджетное образовательное учреждение города Москвы лицей №1547";1547;"http://licuv1547.mskobr.ru/";"лицей";"Юго-Восточный административный округ";"присоединение";1
114;838;"Государственное бюджетное образовательное учреждение города Москвы лицей №1310 культурологический";1310;"http://lyc1310.mskobr.ru/";"лицей";"Восточный административный округ";"присоединение";2
115;446;"Государственное бюджетное образовательное учреждение города Москвы лицей №1367";1367;"http://lyc1367uv.mskobr.ru/";"лицей";"Юго-Восточный административный округ";"слияние";3
116;331;"Государственное бюджетное образовательное учреждение города Москвы лицей №1451";1451;"http://lyc1451u.mskobr.ru/";"лицей";"Южный административный округ";"слияние";2
117;497;"Государственное бюджетное образовательное учреждение города Москвы лицей №1524";1524;"http://lyc1524uv.mskobr.ru/";"лицей";"Юго-Восточный административный округ";"присоединение";4
118;605;"Государственное бюджетное образовательное учреждение города Москвы лицей №1533 информационных технологий";1533;"http://lyc1533.mskobr.ru/";"лицей";"Юго-Западный административный округ";"присоединение";2
119;879;"Государственное бюджетное образовательное учреждение города Москвы лицей №1535";1535;"http://lyc1535.mskobr.ru/";"лицей";"Центральный административный округ";"присоединение";2
120;263;"Государственное бюджетное образовательное учреждение города Москвы лицей №1537 информационных технологий";1537;"http://lyc1537.mskobr.ru/";"лицей";"Северо-Восточный административный округ";"присоединение";2
121;178;"Государственное бюджетное образовательное учреждение города Москвы лицей №1550";1550;"http://lyc1550.mskobr.ru/";"лицей";"Северный административный округ";"присоединение";2
122;808;"Государственное бюджетное образовательное учреждение города Москвы лицей №1557";1557;"http://lyc1557zg.mskobr.ru/";"лицей";"Зеленоградский административный округ";"присоединение";4
123;78;"Государственное бюджетное образовательное учреждение города Москвы лицей №1560";1560;"http://lyc1560.mskobr.ru/";"лицей";"Северо-Западный административный округ";"присоединение";6
124;580;"Государственное бюджетное образовательное учреждение города Москвы лицей №1561";1561;"http://lyc1561uz.mskobr.ru/";"лицей";"Юго-Западный административный округ";"присоединение";4
125;99;"Государственное бюджетное образовательное учреждение города Москвы лицей №1564 имени Героя Советского Союза А.П. Белобородова";1564;"http://lyc1564.mskobr.ru/";"лицей";"Северо-Западный административный округ";"слияние";3
126;268;"Государственное бюджетное образовательное учреждение города Москвы лицей №1568 имени Пабло Неруды";1568;"http://lyc1568.mskobr.ru/";"лицей";"Северо-Восточный административный округ";"слияние";4
127;131;"Государственное бюджетное образовательное учреждение города Москвы лицей №1571";1571;"http://lyc1571sz.mskobr.ru/";"лицей";"Северо-Западный административный округ";"присоединение";5
128;45;"Государственное бюджетное образовательное учреждение города Москвы лицей №1574";1574;"http://lyc1574.mskobr.ru/";"лицей";"Центральный административный округ";"присоединение";4
129;210;"Государственное бюджетное образовательное учреждение города Москвы лицей №1575";1575;"http://lyc1575.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
130;660;"Государственное бюджетное образовательное учреждение города Москвы лицей №1598";1598;"http://lyc1598v.mskobr.ru/";"лицей";"Восточный административный округ";"присоединение";3
131;467;"Государственное бюджетное образовательное учреждение города Москвы лицей №1793 «Жулебино»";1793;"http://lyc1793uv.mskobr.ru/";"лицей";"Юго-Восточный административный округ";"слияние";2
132;690;"Государственное бюджетное образовательное учреждение города Москвы лицей №1795 «Лосиноостровский» ";1795;"http://lyc1795.mskobr.ru/";"лицей";"Восточный административный округ";"слияние";2
133;319;"Государственное бюджетное образовательное учреждение города Москвы лицей №504 ";504;"http://lyc504u.mskobr.ru/";"лицей";"Южный административный округ";"слияние";5
134;334;"Государственное бюджетное образовательное учреждение города Москвы лицей №507";507;"http://lyc507u.mskobr.ru/";"лицей";"Южный административный округ";"слияние";4
