"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"ID_1";"OBJECTID_12";"ID_12";"NAME_12";"TYPE";"NUMB_1";"OKRUG_1";"FOUNDATION_TYPE"
11;"Государственное бюджетное образовательное учреждение города Москвы cредняя общеобразовательная школа № 402";"111538, г. Москва, ул. Косинская, д. 10А";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"375-59-11";"schv402.mskobr.ru";"s402veshn@yandex.ru";41;236;681,00;402,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №402";41,00;113;681,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №402 имени Алии Молдагуловой";"гимназия";402,00;"Восточный административный округ";"слияние"
12;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257";"115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"952-63-70";"gymu1257.mskobr.ru";"dou1234@sinergi.ru";50;749;348,00;1257,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1257";50,00;379;348,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1257";"гимназия";1257,00;"Южный административный округ";""
13;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1274 имени В.В.Маяковского";"115088, г. Москва, ул. 1-я Дубровская, д. 16";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 674-20-47; (495) 674-20-40";"gymg1274.mskobr.ru";"1274@gymnasium1274.msk.ru";51;764;496,00;1274,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1274 имени В.В.Маяковского";51,00;389;496,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1274 имени В.В.Маяковского";"гимназия";1274,00;"Юго-Восточный административный округ";"присоединение"
14;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306";"119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"932-89-42";"gymg1306.mskobr.ru";"administration@sch1306.ru";52;790;774,00;1306,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1306";52,00;403;774,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1306";"гимназия";1306,00;"Западный административный округ";"присоединение"
15;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";"107014, Москва,  ул. Большая Оленья,  д. 3";"Восточный административный округ";"район Сокольники";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";"cov1404.mskobr.ru";"gamma1404@list.ru";53;850;610,00;1404,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1404 «Гамма»";53,00;438;610,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1404 «Гамма»";"гимназия";1404,00;"Восточный административный округ";"слияние"
16;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1505 ""Московская городская педагогическая  гимназия-лаборатория""";"107061, г. Москва, улица  2-я Пугачевская, дом 6А";"Восточный административный округ";"район Преображенское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"963-76-77";"gymg1505.mskobr.ru";"gym1505@mail.ru";55;937;674,00;1505,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая  гимназия-лаборатория»";55,00;484;674,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая гимназия-лаборатория»";"гимназия";1505,00;"Восточный административный округ";"присоединение"
17;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1507";"117321,  г. Москва, ул. Профсоюзная, дом 132, корп.9";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"420-70-44";"http://www.gumuz1507.mskobr.ru";"gym1507@mosuzedu.ru";57;939;571,00;1507,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1507";57,00;485;571,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1507";"гимназия";1507,00;"Юго-Западный административный округ";"присоединение"
18;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1512";"111538, г. Москва, ул. Косинская, д.24А";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"374-77-44";"gymv1512.mskobr.ru/";"gym 1512@mail.ru";58;942;684,00;1512,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1512";58,00;487;684,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1512";"гимназия";1512,00;"Восточный административный округ";"присоединение"
19;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1513 ""Московская городская лингвистическая гимназия""";"121099 г. Москва, Новинский б-р, д.3, стр.2";"Центральный административный округ";"район Арбат";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 254-08-29";"gymc1513.mskobr.ru";"bubman13@yandex.ru";59;943;21,00;1513,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»";59,00;488;21,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»";"гимназия";1513,00;"Центральный административный округ";"присоединение"
20;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1514";"119311, г.Москва, ул.Крупской, д.12";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"131-80-38";"http://gumuz1514.mskobr.ru/";"gum52@yandex.ru";60;944;565,00;1514,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1514";60,00;489;565,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1514";"гимназия";1514,00;"Юго-Западный административный округ";"присоединение"
21;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1515";"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 197-44-52";"gym1515.mskobr.ru";"gym1515@szouo.ru";61;945;130,00;1515,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515";61,00;490;130,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515";"гимназия";1515,00;"Северо-Западный административный округ";"присоединение"
22;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;947;55,00;1517,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517";62,00;491;55,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517";"гимназия";1517,00;"Северо-Западный административный округ";"присоединение"
23;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-93-31";"gymc1521.mskobr.ru";"direktor1768@mail.ru";65;951;124,00;1521,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1521";65,00;493;124,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1519";"гимназия";1519,00;"Северо-Западный административный округ";"присоединение"
24;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528";"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 710-33-02; (499) 710-47-20";"http://gymzg1528.mskobr.ru";"s1528@zou.ru";69;958;783,00;1528,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528";69,00;496;783,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528";"гимназия";1528,00;"Зеленоградский административный округ";"присоединение"
25;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1529 имени А.С.Грибоедова";"119034 г.Москва, 2-ой Обыденский пер, д.9";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-98-42";"gymc1529.mskobr.ru";"info@sch1529.ru";70;959;25,00;1529,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С.Грибоедова";70,00;497;25,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова";"гимназия";1529,00;"Центральный административный округ";"присоединение"
26;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 687-01-07";"gym1531sv.mskobr.ru";"Sch1531edu@yandex.ru";72;961;226,00;1531,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»";72,00;498;226,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»";"гимназия";1531,00;"Северо-Восточный административный округ";"присоединение"
27;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1532";"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"338-76-55";"";"";73;962;523,00;1532,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1532";73,00;499;523,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1532";"гимназия";1532,00;"Юго-Западный административный округ";"присоединение"
28;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1534";"117036, г.Москва, ул.Кедрова, д.11";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"125-59-82";"http://gumuz1534.mskobr.ru/";"gym1534@mail.ru";74;964;588,00;1534,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1534";74,00;501;588,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1534";"гимназия";1534,00;"Юго-Западный административный округ";"присоединение"
29;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1536";"119261, г.Москва, Ленинский проспект, дом 83 А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"134-34-12";"";"gimn1536@mosuzedu.ru";75;966;561,00;1536,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536";75,00;502;561,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536";"гимназия";1536,00;"Юго-Западный административный округ";"присоединение"
30;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1538";"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"751-14-91";"gym1538.mskobr.ru/";"gym1538@szouo.ru";76;968;62,00;1538,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";76,00;504;62,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";"гимназия";1538,00;"Северо-Западный административный округ";"присоединение"
31;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1540";"103055 г. Москва, Новослободская ул., д.57, стр.1";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 978-35-84";"gymc1540.mskobr.ru";"school@msk.ort.ru";77;970;37,00;1540,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540";77,00;506;37,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540";"гимназия";1540,00;"Центральный административный округ";"присоединение "
32;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1541";"119415 г. Москва, пр. Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"431-46-76";"http:/gym1541.mskzapad.ru/";"gym1541@mail.ru";78;971;718,00;1541,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1541";78,00;507;718,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1541";"гимназия";1541,00;"Западный административный округ";"присоединение"
33;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1542";"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"934-87-32";"gym1542.mskzapad.ru/";"1542@inbox.ru";79;972;779,00;1542,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542";79,00;508;779,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542";"гимназия";1542,00;"Западный административный округ";"присоединение"
34;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1544";"125222, г. Москва, ул. Пенягинская, д. 14";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 752-61-11; (495) 753-19-03; (495) 794-35-11";"gymsz1544.mskobr.ru";"gym1544@szouo.ru";80;974;107,00;1544,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544";80,00;509;107,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544 ";"гимназия";1544,00;"Северо-Западный административный округ";"присоединение"
35;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;979;79,00;1551,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551";81,00;510;79,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551";"гимназия";1551,00;"Северо-Западный административный округ";"присоединение"
36;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1558 имени Росалии де Кастро";"129327,  Москва, Чукотский проезд, д. 6";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"471-23-54";"gymsv1558.mskobr.ru/";"colrosaliacastro@mail.ru";83;985;259,00;1558,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";83,00;513;259,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";"гимназия";1558,00;"Северо-Восточный административный округ";"присоединение"
37;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика";"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"349-00-11";"gymuv1562.mskobr.ru";"gimn1562@uvuo.ru";84;988;433,00;1562,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артема Боровика";84,00;516;433,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артёма Боровика ";"гимназия";1562,00;"Юго-Восточный административный округ";"присоединение"
38;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1565 ""Свиблово""";"129323, г. Москва, ул. Седова, д. 4, корп. 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 656-60-81";"gum1565sv.mskobr.ru/";"edu1565@mail.ru";85;991;293,00;1565,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»";85,00;519;293,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»";"гимназия";1565,00;"Северо-Восточный административный округ";"присоединение"
39;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1566";"109652, г. Москва, Мячковский бульвар, дом 14, к. 3";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 784-88-69";"gymuv1566.mskobr.ru/";"gymnasium_1566@mail.ru";86;992;459,00;1566,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1566";86,00;520;459,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1566";"гимназия";1566,00;"Юго-Восточный административный округ";"присоединение"
