"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1004";"119618 г.Москва, ул 50 лет Октября, д. 14 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-83-42";"sch1004.mskzapad.ru";"school_1004@mail.ru";265
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1007";"119620 г. Москва, Солнцевский проспект, дом 7 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-99-32";"sch1007.mskzapad.ru";"sch1007@yandex.ru";267
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1014";"119633 Москва, ул.Новопеределкинская, дом 13, к.1";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"733-54-70";"sch1014.mskzapad.ru";"shkola1014@yandex.ru";269
45;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1015";"199633 г.Москва, ул.Новопеределкинская, д.9, корп.1";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"733-54-68";"sch1015.mskzapad.ru";"school1015@rambler.ru";270
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1017";"119634 г. Москва, ул. Федосьинская, д.4, кор.2";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 732-98-74";"sch1017.mskzapad.ru";"sch1017zao@yandex.ru";271
47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1114";"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 738-60-54";"sch1114.mskzapad.ru";"s1114@yandex.ru";310
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1117";"119361 г.Москва, ул.Озерная, д. 27, корпус 2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"430-74-06";"sch1117.mskzapad.ru";"sch1117@mail.ru";311
49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1118";"119590 г.Москва, ул. Довженко, д.10";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"147-25-54";"sch1118.mskzapad.ru/";"school1118@mail.ru";312
50;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1119";"119607 г.Москва, ул. Раменки, д. 15, к.2";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"931-46-55";"sch1119.mskzapad.ru";"school-1119@mail.ru";313
51;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1133";"121609 г.Москва, ул. Крылатские холмы, д.15,корп.1";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-02-24";"sch1133.mskzapad.ru/";"sch1133@mail.ru";317
52;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 12";"119136 г.Москва, 2-й Сетуньский проезд, д. 9";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 795-51-94";"sch12.mskzapad.ru";"school12ramenki@list.ru";344
53;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14";"119602, г. Москва, ул. Академика Анохина, д. 32";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"430-31-01";"sch14.mskzapad.ru";"sch14@list.ru";357
54;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1400";"121354 г. Москва, Можайское шоссе, дом 38, корпус 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"448-92-59";"sch1400.mskzapad.ru";"school1400@mail.ru";358
55;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1726";"121170, Москва ул.Дениса Давыдова д.5";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 249-08-10; (499) 243-67-88";"ds1555.mskzapad.ru";"dou1555@mail.ru";388
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1741";"119602 г.Москва, ул. Никулинская, д. 5";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 232-75-81; (495) 232-75-82";"sch1741.mskzapad.ru";"sch1741@rambler.ru";392
57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1933";"119634 г. Москва, ул Чоботовская, дом 8.";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"732-95-33";"sch1933.mskzapad.ru";"school1933@mail.ru";424
58;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2025";"119361, г.Москва, ул. Б.Очаковская, д.42, корпус 2.";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 726-15-89";"sch2025.mskzapad.ru/";"school2025@bk.ru";467
59;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 261";"121108 г.Москва, ул. Кастанаевская, д. 29, корпус 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-59-42";"";"sch261@sch261.edu.ru";549
60;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 262";"121108 Москва, ул. Кастанаевская, д. 45";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 144-54-49; (499) 144-48-74; (499) 146-55-36; (499) 146-64-14";"http//:sch262.zao.mskobr.ru";"school262admin@mail.ru";550
61;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 323";"119415 г.Москва, проспект Вернадского, д. 57";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 431-19-82";"sch323.mskzapad.ru";"school323@inbox.ru";582
62;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 324 ""Жар-птица""";"119454 г.Москва, ул. Лобачевского, д. 54";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"431-19-87";"";"school324@mail.ru";583
63;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37";"119192, г. Москва, ул. Столетова, д. 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 739-35-28";"http://sch37.mskzapad.ru";"sch37@list.ru";603
64;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 38";"119192 г.Москва, Мичуринский проспект, д. 42";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"931-54-00";"sch38.mskzapad.ru";"sch_38@inbox.ru";610
65;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389";"121351, г.Москва, ул. Партизанская, д. 39";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 141-45-19; (499) 141-65-62";"sch389.mskzapad.ru";"sch389@gmail.com";613
66;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 391";"121471  г.Москва,ул. Гжатская, д. 6";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 440-13-24";"sch391.mskzapad.ru";"ms391@narod.ru";614
67;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41";"119027 г.Москва, ул Большая Внуковская, д. 4";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"436-24-50";"ds2569.mskzapad.ru";"shk4155@yandex.ru";625
68;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 56 имени академика В.А. Легасова";"121151 г.Москва, Кутузовский проспект, д. 22 А";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 243-63-10";"sch56.mskzapad.ru";"sch56@inbox.ru";705
69;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 587";"121471 г.Москва, Можайское шоссе, д. 18, корпус 2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 444-27-14";"";"sch587@mail.ru";712
70;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 589";"121596 г.Москва, ул. Говорова, д. 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-20-79";"sch589.mskzapad.ru";"sch589@bk.ru";714
71;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 590";"121096 г.Москва, ул. Кастанаевская, д. 10";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 148-22-96";"sch590.mskzapad.ru";"school590zao@mail.ru";716
72;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 591";"121095 г.Москва, Украинский бульвар, дом 9";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 240-11-56";"sch591.mskzapad.ru";"sch591@mail.ru";717
73;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 598";"119602 г.Москва, ул. Академика Анохина, д.36";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 430-31-07";"sch598.mskzapad.ru";"school598@yandex.ru";720
74;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 61";"121471 г. Москва, ул. Рябиновая, д.8, корп.2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"443-32-14";"sch61.mskzapad.ru/";"sch61@bk.ru";726
75;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 63";"121609 г. Москва, ул. Крылатские холмы, д.23";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-06-15";"sch63.mskzapad.ru";"sch63s@yandex.ru";734
76;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65";"121354,г.Москва, ул.Кутузова, д.20";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"447-12-57";"sch65.mskzapad.ru";"school65.05@mail.ru";741
77;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 665";"121151, г.Москва, ул Студенческая, д. 24";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 766-16-52";"sch665.mskzapad.ru";"shkola1@rdm.ru";750
78;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 700";"121096 г.Москва, ул.Барклая, д. 5 А";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"142-39-22";"sch700.mskzapad.ru";"sch700_tv@mail.ru";765
